t (s),V (mV)
0,12.7542
0.999,12.7357
2,12.7142
2.999,12.6912
3.999,12.669
5,12.6459
6,12.623
7,12.5998
8,12.5755
8.999,12.5526
10,12.5284
10.999,12.5031
12,12.4797
12.999,12.4541
14,12.4303
14.999,12.4056
16,12.3813
17,12.3569
17.999,12.3325
19,12.3091
19.999,12.2839
20.999,12.2604
21.999,12.2352
22.999,12.2112
23.999,12.1871
25,12.1637
26,12.139
26.999,12.115
27.999,12.0913
28.999,12.0673
30,12.0438
31,12.0196
31.999,11.9964
33,11.9738
33.999,11.9507
35,11.927
36,11.9044
36.999,11.8813
38,11.8574
38.999,11.834
39.999,11.8122
41,11.7883
41.999,11.7661
43,11.7428
43.999,11.7209
44.999,11.6973
45.999,11.6737
46.999,11.6498
48,11.6237
48.999,11.6043
49.999,11.5814
51,11.5598
52,11.5373
53,11.5137
54,11.4935
54.999,11.4721
55.999,11.4475
57,11.4225
57.999,11.4015
58.999,11.3773
60,11.3491
60.999,11.3302
62,11.3005
62.999,11.2838
64,11.2639
64.999,11.2429
66,11.2199
66.999,11.1962
67.999,11.1738
68.999,11.1547
70,11.1342
70.999,11.1149
72,11.0918
72.999,11.0702
74,11.055
74.999,11.0359
75.999,11.0149
76.999,10.9905
78,10.9679
78.999,10.9492
79.999,10.9286
81,10.909
81.999,10.8898
83,10.8741
83.999,10.8525
84.999,10.8344
86,10.8129
86.999,10.7911
88,10.7711
88.999,10.752
89.999,10.7343
91,10.7099
92,10.6943
92.999,10.6785
93.999,10.661
95,10.6341
95.999,10.617
96.999,10.6044
97.998,10.5849
98.998,10.5673
99.999,10.5483
100.999,10.5277
101.998,10.5091
102.998,10.4896
103.998,10.4702
104.999,10.4511
105.999,10.4319
106.998,10.4128
107.998,10.3941
108.998,10.3759
109.998,10.3569
110.998,10.338
111.998,10.3197
112.998,10.3162
113.999,10.2996
114.998,10.2818
115.998,10.2627
116.998,10.2445
117.998,10.2253
118.999,10.2083
119.998,10.1896
120.998,10.1725
121.998,10.1537
122.999,10.1348
123.999,10.1168
124.999,10.0984
125.998,10.08
126.998,10.0626
127.998,10.0438
128.998,10.0263
129.999,10.0086
130.999,9.9901
131.999,9.9727
133,9.9526
133.999,9.9369
135,9.9199
135.999,9.9011
137,9.8838
137.999,9.8675
138.999,9.8499
139.999,9.8315
141,9.8134
142,9.7966
142.999,9.7792
143.999,9.7617
144.999,9.7429
145.999,9.7247
147,9.7085
147.999,9.6913
149,9.674
150,9.6577
150.999,9.6401
151.999,9.6237
153,9.6065
154,9.5896
155,9.5732
156,9.5562
156.999,9.539
157.999,9.5214
158.999,9.5047
159.999,9.4888
160.999,9.4713
161.999,9.4551
163,9.4386
163.999,9.4225
165,9.4054
165.999,9.3886
167,9.372
167.999,9.356
168.999,9.3397
169.999,9.324
170.999,9.307
171.999,9.291
172.999,9.2737
174,9.2584
174.999,9.2428
176,9.226
176.999,9.21
177.999,9.1942
179,9.1785
179.999,9.1624
181,9.1464
182,9.1314
182.999,9.1142
184,9.098
184.999,9.0813
185.999,9.0662
187,9.0503
187.999,9.0349
189,9.0183
189.999,9.0029
190.999,8.9879
192,8.9713
192.999,8.9567
193.999,8.9412
195,8.9258
195.999,8.9107
196.999,8.8957
198,8.8799
199,8.8647
199.999,8.8507
