t (s),V (mV)
0,12.7981
1.026,12.7308
2.025,12.6657
3.026,12.6016
4.026,12.5364
5.025,12.4709
6.025,12.4067
7.026,12.3409
8.026,12.2775
9.025,12.2139
10.026,12.1509
11.025,12.087
12.03,12.0255
13.025,11.9631
14.026,11.9006
15.026,11.8397
16.026,11.7785
17.025,11.7171
18.03,11.6548
19.026,11.596
20.026,11.5354
21.026,11.4769
22.025,11.4179
23.026,11.3588
24.025,11.3008
25.026,11.2418
26.026,11.1829
27.025,11.122
28.025,11.068
29.026,11.0121
30.025,10.955
31.025,10.8988
32.025,10.8422
33.026,10.786
34.025,10.7302
35.026,10.6743
36.03,10.6174
37.024,10.5648
38.024,10.5103
39.024,10.4559
40.024,10.4008
41.024,10.3473
42.029,10.2927
43.025,10.2392
44.024,10.1867
45.024,10.133
46.024,10.0806
47.024,10.0274
48.025,9.9763
49.025,9.9242
50.025,9.873
51.026,9.8219
52.025,9.7709
53.025,9.7203
54.026,9.6701
55.026,9.6194
56.025,9.5691
57.025,9.5192
58.025,9.4706
59.025,9.4215
60.026,9.3716
61.025,9.3221
62.026,9.2747
63.025,9.2267
64.026,9.1781
65.025,9.1308
66.026,9.0833
67.025,9.0367
68.025,8.9898
69.025,8.943
70.026,8.8964
71.025,8.8503
72.03,8.8033
73.025,8.759
74.026,8.7133
75.026,8.6677
76.025,8.6225
77.026,8.5784
78.031,8.532
79.025,8.4885
80.025,8.4449
81.026,8.401
82.025,8.3568
83.025,8.313
84.026,8.2689
85.025,8.2259
86.026,8.183
87.025,8.1406
88.025,8.0958
89.025,8.055
90.026,8.0127
91.025,7.9699
92.025,7.9231
93.026,7.883
94.025,7.8438
95.025,7.8042
96.025,7.7625
97.025,7.722
98.025,7.6809
99.025,7.6414
100.025,7.6021
101.025,7.5605
102.026,7.5227
103.025,7.4827
104.026,7.4433
105.025,7.405
106.025,7.3656
107.026,7.327
108.025,7.2884
109.025,7.2488
110.025,7.2117
111.026,7.1733
112.025,7.135
113.025,7.0975
114.026,7.0611
115.025,7.0246
116.026,6.9876
117.025,6.9512
118.025,6.914
119.026,6.8784
120.025,6.8408
121.025,6.8056
122.025,6.7691
123.026,6.734
124.025,6.6987
125.025,6.6646
