"Uзаж, вольт","Ip, мА","Up, В","Ip2, мА","I+1, мкА","U+1, В","I-1, мкА","U-1, В","I+2, мкА","U+2, В","I-2, мкА","U-2, В","I+3, мкА","U+3, В","I-3, мкА","U-3, В","D,мм","L, мм"
94,2.12,25.8,3.98,186.34,25,0.00,0.66,149.60,25,1.08,0.66,105.73,25,12.68,0.8,0.2,5.2
99,2.32,25.5,3,191.52,22,22.34,2,154.50,22,19.11,2,107.84,22,24.63,2,,
,2.54,24.8,2.3,191.99,19,54.19,4,153.26,19,44.91,4,107.58,19,41.62,4,,
,2.74,24,,185.87,16,83.10,6,148.20,16,66.21,6,104.60,16,57.53,6,,
,2.94,23.1,,169.81,13,107.83,8,135.92,13,86.11,8.1,96.50,13,70.14,8,,
,3.12,22.4,,143.88,10,129.54,10,116.69,10,100.94,10,84.05,10,80.87,10,,
,3.33,21.3,,122.09,8,151.59,13,98.73,8,118.38,13,72.35,8,92.17,13,,
,3.54,20,,94.68,6,166.05,16,78.05,6,130.55,16,57.75,6,99.42,16,,
,3.74,18.7,,65.46,4,171.90,19,54.25,4,134.60,19,41.23,4,102.22,19,,
,3.93,17.3,,32.88,2,171.13,22,28.02,2,133.88,22,23.10,2,103.12,22,,
,4.12,15.9,,10.00,0.63,165.48,25,10.00,0.66,129.40,25,10.00,0.66,101.10,25,,
,4.32,14.5,,,,,,,,,,,,,,,
,4.53,11.6,,,,,,,,,,,,,,,
,4.72,8.3,,,,,,,,,,,,,,,
,4.75,8,,,,,,,,,,,,,,,
,4.53,11.6,,,,,,,,,,,,,,,
,4.34,14.3,,,,,,,,,,,,,,,
,4.13,16.2,,,,,,,,,,,,,,,
,3.93,17.5,,,,,,,,,,,,,,,
,3.68,19.4,,,,,,,,,,,,,,,
,3.52,20.1,,,,,,,,,,,,,,,
,3.35,21,,,,,,,,,,,,,,,
,3.1,22.2,,,,,,,,,,,,,,,
,2.91,23,,,,,,,,,,,,,,,
,2.71,23.8,,,,,,,,,,,,,,,
,2.53,24.5,,,,,,,,,,,,,,,
,2.32,25.4,,,,,,,,,,,,,,,
,2.15,25.6,,,,,,,,,,,,,,,
