I,N,t,N-N_f,p,T,mkFermi
0.20,1.39,100,-0.61,62.4,3.8,0
0.40,1.21,100,-0.79,124.8,15,0
0.60,1.16,100,-0.84,187.1,33.2,0
0.80,2.619,100,0.619,249.5,57.7,199.6506
1.00,4.949,100,2.949,311.9,87.7,311.7386
1.20,8.787,100,6.787,374.3,122.4,359.8022
1.40,12.516,100,10.516,436.7,161.1,355.4049
1.60,13.776,100,11.776,499,203.2,307.8234
1.80,14.526,100,12.526,561.4,248.1,266.8581
2.00,15.585,100,13.585,623.8,295.4,236.5798
2.20,13.656,100,11.656,686.2,344.5,189.9434
2.40,12.466,100,10.466,748.6,395.3,157.9662
2.60,7.428,100,5.428,810.9,447.5,100.8872
2.80,4.529,100,2.529,873.3,500.8,61.6158
3.00,3.759,100,1.759,935.7,555.1,46.3367
3.05,7.958,100,5.958,951.3,568.8,83.1901
3.10,13.016,100,11.016,966.9,582.6,110.3968
3.15,19.634,100,17.634,982.5,596.4,136.3629
3.20,22.813,100,20.813,998.1,610.3,144.6869
3.25,26.222,100,24.222,1013.7,624.2,152.4988
3.30,23.903,100,21.903,1029.3,638.1,141.7308
3.35,18.414,100,16.414,1044.9,652.1,119.9586
3.40,14.466,100,12.466,1060.4,666.1,102.2408
3.45,10.277,100,8.277,1076,680.2,81.5062
3.50,6.188,100,4.188,1091.6,694.3,56.7406
3.60,2.019,100,0.019,1122.8,722.6,3.7014
3.80,0.83,100,-1.17,1185.2,779.7,0
4.00,0.66,100,-1.34,1247.6,837.2,0
4.20,0.62,100,-1.38,1310,895.1,0
4.40,0.5,100,-1.5,1372.3,953.4,0
