,Канал: 0,Канал: 1
00:00:00.000.000,-0.2588,-0.2075
00:00:00.000.100,-0.2686,-0.2393
00:00:00.000.200,-0.2979,-0.2173
00:00:00.000.300,-0.3174,-0.1587
00:00:00.000.400,-0.3369,-0.1196
00:00:00.000.500,-0.3271,-0.1001
00:00:00.000.600,-0.3369,-0.0879
00:00:00.000.700,-0.3589,-0.1685
00:00:00.000.800,-0.3784,-0.0879
00:00:00.000.900,-0.3784,-0.0098
00:00:00.001.000,-0.3882,0.0708
00:00:00.001.100,-0.3979,-0.0684
00:00:00.001.200,-0.4077,-0.0195
00:00:00.001.300,-0.4077,0.0415
00:00:00.001.400,-0.4175,0.0806
00:00:00.001.500,-0.4272,0.0708
00:00:00.001.600,-0.4468,0.0293
00:00:00.001.700,-0.4468,0.1294
00:00:00.001.800,-0.4565,0.0806
00:00:00.001.900,-0.4761,0.0903
00:00:00.002.000,-0.4980,0.0903
00:00:00.002.100,-0.5078,0.1099
00:00:00.002.200,-0.5176,0.0903
00:00:00.002.300,-0.5176,0.1489
00:00:00.002.400,-0.5371,0.1099
00:00:00.002.500,-0.5371,0.1709
00:00:00.002.600,-0.5371,0.1099
00:00:00.002.700,-0.5664,0.0903
00:00:00.002.800,-0.5762,0.2295
00:00:00.002.900,-0.5859,0.2686
00:00:00.003.000,-0.5957,0.2881
00:00:00.003.100,-0.6055,0.3101
00:00:00.003.200,-0.6055,0.3296
00:00:00.003.300,-0.6372,0.2588
00:00:00.003.400,-0.6470,0.1904
00:00:00.003.500,-0.6372,0.2100
00:00:00.003.600,-0.6470,0.2393
00:00:00.003.700,-0.6860,0.3101
00:00:00.003.800,-0.6567,0.2197
00:00:00.003.900,-0.6763,0.3687
00:00:00.004.000,-0.6665,0.2881
00:00:00.004.100,-0.7056,0.2686
00:00:00.004.200,-0.6958,0.2490
00:00:00.004.300,-0.7056,0.2686
00:00:00.004.400,-0.7349,0.2002
00:00:00.004.500,-0.7056,0.3296
00:00:00.004.600,-0.7153,0.2686
00:00:00.004.700,-0.7056,0.2686
00:00:00.004.800,-0.7153,0.3198
00:00:00.004.900,-0.7056,0.2295
00:00:00.005.000,-0.6958,0.3101
00:00:00.005.100,-0.6763,0.2783
00:00:00.005.200,-0.6763,0.2783
00:00:00.005.300,-0.6372,0.3296
00:00:00.005.400,-0.6274,0.3198
00:00:00.005.500,-0.6274,0.2100
00:00:00.005.600,-0.5957,0.3784
00:00:00.005.700,-0.5957,0.3003
00:00:00.005.800,-0.5859,0.3003
00:00:00.005.900,-0.5664,0.2588
00:00:00.006.000,-0.5566,0.3198
00:00:00.006.100,-0.5371,0.3101
00:00:00.006.200,-0.5176,0.2783
00:00:00.006.300,-0.4883,0.3687
00:00:00.006.400,-0.4663,0.2783
00:00:00.006.500,-0.4663,0.3198
00:00:00.006.600,-0.4370,0.3394
00:00:00.006.700,-0.4175,0.2881
00:00:00.006.800,-0.4175,0.2490
00:00:00.006.900,-0.3784,0.2686
00:00:00.007.000,-0.3589,0.2686
00:00:00.007.100,-0.3589,0.2393
00:00:00.007.200,-0.3271,0.3101
00:00:00.007.300,-0.2979,0.2393
00:00:00.007.400,-0.2588,0.3003
00:00:00.007.500,-0.2490,0.2881
00:00:00.007.600,-0.2295,0.2002
00:00:00.007.700,-0.2075,0.2197
00:00:00.007.800,-0.1880,0.1807
00:00:00.007.900,-0.1489,0.2490
00:00:00.008.000,-0.1392,0.2881
00:00:00.008.100,-0.1294,0.3784
00:00:00.008.200,-0.1001,0.2393
00:00:00.008.300,-0.0781,0.2490
00:00:00.008.400,-0.0488,0.2393
00:00:00.008.500,-0.0293,0.2686
00:00:00.008.600,0.0000,0.2881
00:00:00.008.700,0.0098,0.2490
00:00:00.008.800,0.0293,0.2588
00:00:00.008.900,0.0513,0.2783
00:00:00.009.000,0.0708,0.2197
00:00:00.009.100,0.1001,0.2490
00:00:00.009.200,0.1294,0.3198
00:00:00.009.300,0.1392,0.2686
00:00:00.009.400,0.1587,0.0513
00:00:00.009.500,0.1807,0.1294
00:00:00.009.600,0.1904,0.0415
00:00:00.009.700,0.2100,-0.1001
00:00:00.009.800,0.2197,-0.0586
00:00:00.009.900,0.2490,-0.1489
00:00:00.010.000,0.2588,-0.2783
00:00:00.010.100,0.2881,-0.1978
00:00:00.010.200,0.2881,-0.2686
00:00:00.010.300,0.3101,-0.3174
00:00:00.010.400,0.3198,-0.3687
00:00:00.010.500,0.3198,-0.3784
00:00:00.010.600,0.3394,-0.4077
00:00:00.010.700,0.3394,-0.3784
00:00:00.010.800,0.3491,-0.3369
00:00:00.010.900,0.3589,-0.4077
00:00:00.011.000,0.3687,-0.3882
00:00:00.011.100,0.3687,-0.3979
00:00:00.011.200,0.4077,-0.3076
00:00:00.011.300,0.4077,-0.5762
00:00:00.011.400,0.4077,-0.5078
00:00:00.011.500,0.4297,-0.4272
00:00:00.011.600,0.4395,-0.4761
00:00:00.011.700,0.4492,-0.4565
00:00:00.011.800,0.4688,-0.4663
00:00:00.011.900,0.4785,-0.5273
00:00:00.012.000,0.4883,-0.5859
00:00:00.012.100,0.4980,-0.5371
00:00:00.012.200,0.5078,-0.6567
00:00:00.012.300,0.5176,-0.5469
00:00:00.012.400,0.5176,-0.5469
00:00:00.012.500,0.5371,-0.5469
00:00:00.012.600,0.5371,-0.6177
00:00:00.012.700,0.5591,-0.6372
00:00:00.012.800,0.5786,-0.6274
00:00:00.012.900,0.5786,-0.6372
00:00:00.013.000,0.5884,-0.6860
00:00:00.013.100,0.5981,-0.6665
00:00:00.013.200,0.5786,-0.5664
00:00:00.013.300,0.6079,-0.6763
00:00:00.013.400,0.6177,-0.6958
00:00:00.013.500,0.6274,-0.7153
00:00:00.013.600,0.6274,-0.6958
00:00:00.013.700,0.6372,-0.6958
00:00:00.013.800,0.6665,-0.6763
00:00:00.013.900,0.6763,-0.6665
00:00:00.014.000,0.6763,-0.6958
00:00:00.014.100,0.6885,-0.8057
00:00:00.014.200,0.6763,-0.6958
00:00:00.014.300,0.6982,-0.6372
00:00:00.014.400,0.6885,-0.7471
00:00:00.014.500,0.7080,-0.6665
00:00:00.014.600,0.6982,-0.6470
00:00:00.014.700,0.6982,-0.7471
00:00:00.014.800,0.7080,-0.7056
00:00:00.014.900,0.6982,-0.7056
00:00:00.015.000,0.6982,-0.7251
00:00:00.015.100,0.6885,-0.8057
00:00:00.015.200,0.6470,-0.7056
00:00:00.015.300,0.6470,-0.7056
00:00:00.015.400,0.6274,-0.6763
00:00:00.015.500,0.6177,-0.6567
00:00:00.015.600,0.5981,-0.6763
00:00:00.015.700,0.5786,-0.7251
00:00:00.015.800,0.5688,-0.6958
00:00:00.015.900,0.5469,-0.6055
00:00:00.016.000,0.5371,-0.6860
00:00:00.016.100,0.4980,-0.8154
00:00:00.016.200,0.5078,-0.6665
00:00:00.016.300,0.5078,-0.6372
00:00:00.016.400,0.4492,-0.6567
