U,U_div,I,I_div
-10,0.2,-25,0.4
-9.5,0.2,0,0.4
-9,0.2,15,0.4
-8.5,0.2,23,0.4
-8,0.2,23.5,0.4
-7.5,0.2,23.7,0.4
-7,0.2,23.8,0.4
-6.5,0.2,23.9,0.4
-6,0.2,24,0.4
-5.5,0.2,24.03,0.4
-5,0.2,24.05,0.4
-4,0.2,24.08,0.4
-3,0.2,24.11,0.4
-2,0.2,24.14,0.4
-1,0.2,24.16,0.4
0,0.2,24.19,0.4
1,0.2,24.22,0.4
2,0.2,24.24,0.4
3,0.2,24.27,0.4
4,0.2,24.30,0.4
5,0.2,24.32,0.4
6,0.2,24.35,0.4
7,0.2,24.38,0.4
8,0.2,24.41,0.4
9,0.2,24.43,0.4
10,0.2,24.46,0.4
11,0.2,24.49,0.4
12,0.2,24.51,0.4
13,0.2,24.54,0.4
14,0.2,24.57,0.4
15,0.2,24.59,0.4
16,0.2,24.62,0.4
17,0.2,24.65,0.4
18,0.2,24.68,0.4
19,0.2,24.70,0.4
20,0.2,24.73,0.4
21,0.2,24.76,0.4
22,0.2,24.78,0.4
23,0.2,24.81,0.4
24,0.2,24.84,0.4
25,0.2,24.86,0.4
26,0.2,24.89,0.4
27,0.2,24.92,0.4
28,0.2,24.95,0.4
29,0.2,24.97,0.4
30,0.2,25.00,0.4
