U,U_div,I,I_div
-14,0.02,-11.5,0.4
-13,0.02,-11.48,0.4
-12,0.02,-11.46,0.4
-11,0.02,-11.44,0.4
-10,0.02,-11.42,0.4
-9,0.02,-11.4,0.4
-8,0.02,-11.38,0.4
-7,0.02,-11.36,0.4
-6,0.02,-11.34,0.4
-5,0.02,-11.32,0.4
-4,0.02,-11.3,0.4
-3,0.02,-11.28,0.4
-2,0.02,-11.26,0.4
-1,0.02,-11.24,0.4
0,0.02,-11.22,0.4
1,0.02,-11.2,0.4
2,0.02,-11.18,0.4
3,0.02,-11.16,0.4
4,0.02,-11.14,0.4
5,0.02,-11.12,0.4
6,0.02,-11.1,0.4
7,0.02,-11.08,0.4
8,0.02,-11.06,0.4
9,0.02,-11.04,0.4
10,0.02,-11,0.4
11,0.02,-10.9,0.4
12,0.02,-10.7,0.4
13,0.02,-10.5,0.4
14,0.02,-9.5,0.4
15,0.02,-9,0.4
16,0.02,-7,0.4
17,0.02,-1,0.4
18,0.02,3.5,0.4
19,0.02,10,0.4
20,0.02,22,0.4
