hat_a,A_out,f,K
444,3760,5,8.47
444,3760,10,8.47
444,3526,15,7.94
444,3222,20,7.26
444,3100,22,6.98
300,1300,50,4.33
300,503,150,1.68
300,306,250,1.02
300,224,350,0.75
300,174,450,0.58
300,143,550,0.48
300,120,650,0.4
300,104,750,0.35
300,92,850,0.31
300,82,950,0.27
300,74,1050,0.25
300,68,1150,0.23
300,62,1250,0.21
300,58,1350,0.19
300,54,1450,0.18
300,50,1550,0.17
300,47,1650,0.16
300,44,1750,0.15
300,42,1850,0.14
300,40,1950,0.13
300,38,2050,0.13
300,36,2150,0.12
300,24,2250,0.08
300,32,2350,0.11
300,31,2450,0.1
300,30,2550,0.1
300,29,2650,0.1
