"Δx [nm]","Δy [nm]","φ [deg]","R [nm]","Δz [nm]"
"0.00000000","669.42148760","-90.00000000","669.42148760","14.47987305"
"0.00000000","528.92561983","-90.00000000","528.92561983","8.86466208"
"0.00000000","570.24793388","-90.00000000","570.24793388","-0.37113785"
"0.00000000","454.54545455","-90.00000000","454.54545455","-9.40771957"
"0.00000000","404.95867769","-90.00000000","404.95867769","1.94182003"
"0.00000000","512.39669421","-90.00000000","512.39669421","-20.17828837"
"0.00000000","512.39669421","-90.00000000","512.39669421","-0.24852915"
"0.00000000","545.45454545","-90.00000000","545.45454545","-1.52923463"
"0.00000000","578.51239669","-90.00000000","578.51239669","-12.65458520"
"0.00000000","380.16528926","-90.00000000","380.16528926","2.60906609"
"0.00000000","404.95867769","-90.00000000","404.95867769","19.77425721"
"0.00000000","462.80991736","-90.00000000","462.80991736","-3.08108990"
"0.00000000","421.48760331","-90.00000000","421.48760331","19.91017651"
"0.00000000","595.04132231","-90.00000000","595.04132231","21.24842678"
"0.00000000","487.60330579","-90.00000000","487.60330579","6.79151426"
"0.00000000","371.90082645","-90.00000000","371.90082645","-3.38495343"
"0.00000000","570.24793388","-90.00000000","570.24793388","-3.24964692"
"0.00000000","495.86776860","-90.00000000","495.86776860","8.55711058"
"0.00000000","471.07438017","-90.00000000","471.07438017","-4.01267550"
"0.00000000","471.07438017","-90.00000000","471.07438017","26.43695728"
"0.00000000","603.30578512","-90.00000000","603.30578512","-12.55758343"
"-8.26446281","462.80991736","-91.02303019","462.88370132","-3.49818172"
"0.00000000","520.66115702","-90.00000000","520.66115702","-6.48907502"
