"Δx [nm]","Δy [nm]","φ [deg]","R [nm]","Δz [nm]"
"0.00000000","1024.79338843","-90.00000000","1024.79338843","5.43829877"
"0.00000000","826.44628099","-90.00000000","826.44628099","21.71431957"
"0.00000000","909.09090909","-90.00000000","909.09090909","-0.19835021"
"0.00000000","570.24793388","-90.00000000","570.24793388","-8.54002116"
"0.00000000","338.84297521","-90.00000000","338.84297521","0.28077609"
"0.00000000","760.33057851","-90.00000000","760.33057851","-1.41031186"
"0.00000000","595.04132231","-90.00000000","595.04132231","3.35095083"
"0.00000000","619.83471074","-90.00000000","619.83471074","23.93740132"
"0.00000000","528.92561983","-90.00000000","528.92561983","-0.32167180"
"0.00000000","520.66115702","-90.00000000","520.66115702","6.92422794"
"0.00000000","-553.71900826","90.00000000","553.71900826","10.10755977"
"0.00000000","528.92561983","-90.00000000","528.92561983","-6.17649790"
"0.00000000","512.39669421","-90.00000000","512.39669421","-2.67798350"
"0.00000000","-578.51239669","90.00000000","578.51239669","13.85801987"
"0.00000000","-330.57851240","90.00000000","330.57851240","19.61786384"
"0.00000000","421.48760331","-90.00000000","421.48760331","-3.38016317"
"0.00000000","-264.46280992","90.00000000","264.46280992","18.67900034"
"0.00000000","421.48760331","-90.00000000","421.48760331","3.21935228"
"0.00000000","520.66115702","-90.00000000","520.66115702","-0.85309268"
"0.00000000","-363.63636364","90.00000000","363.63636364","-3.15624278"
