"Δx [nm]","Δy [nm]","φ [deg]","R [nm]","Δz [nm]"
"336.44859813","0.00000000","0.00000000","336.44859813","-2.27687408"
"280.37383178","0.00000000","0.00000000","280.37383178","4.05918779"
"311.52647975","0.00000000","0.00000000","311.52647975","0.06862809"
"342.67912773","0.00000000","0.00000000","342.67912773","6.10967449"
"348.90965732","0.00000000","0.00000000","348.90965732","-8.71057195"
"292.83489097","0.00000000","0.00000000","292.83489097","7.13173066"
"299.06542056","0.00000000","0.00000000","299.06542056","1.76152344"
"286.60436137","0.00000000","0.00000000","286.60436137","-6.70024587"
"286.60436137","0.00000000","0.00000000","286.60436137","11.42157122"
"348.90965732","0.00000000","0.00000000","348.90965732","7.90135632"
"274.14330218","0.00000000","0.00000000","274.14330218","-10.08248981"
"218.06853583","0.00000000","0.00000000","218.06853583","5.67150616"
"305.29595016","0.00000000","0.00000000","305.29595016","7.35936030"
"249.22118380","0.00000000","0.00000000","249.22118380","-19.01904868"
"255.45171340","0.00000000","0.00000000","255.45171340","-16.95622746"
"317.75700935","0.00000000","0.00000000","317.75700935","5.19501971"
"267.91277259","0.00000000","0.00000000","267.91277259","10.39568940"
"292.83489097","0.00000000","0.00000000","292.83489097","3.62771625"
