"Δx [nm]","Δy [nm]","φ [deg]","R [nm]","Δz [nm]"
"206.61157025","0.00000000","0.00000000","206.61157025","9.30171152"
"198.34710744","0.00000000","0.00000000","198.34710744","-3.02472930"
"231.40495868","0.00000000","0.00000000","231.40495868","-4.57506468"
"168.22429907","0.00000000","0.00000000","168.22429907","-4.27694413"
"242.99065421","0.00000000","0.00000000","242.99065421","5.95500400"
"242.99065421","0.00000000","0.00000000","242.99065421","-4.32376396"
"261.68224299","0.00000000","0.00000000","261.68224299","-2.66299881"
"199.37694704","0.00000000","0.00000000","199.37694704","20.21096184"
"205.60747664","0.00000000","0.00000000","205.60747664","2.21467290"
"211.83800623","0.00000000","0.00000000","211.83800623","2.77653259"
"174.45482866","0.00000000","0.00000000","174.45482866","11.23053323"
"186.91588785","0.00000000","0.00000000","186.91588785","4.93133520"
"180.68535826","0.00000000","0.00000000","180.68535826","9.19551833"
"180.68535826","0.00000000","0.00000000","180.68535826","31.41440624"
"211.83800623","0.00000000","0.00000000","211.83800623","4.28530720"
"174.45482866","0.00000000","0.00000000","174.45482866","-2.20787555"
"218.06853583","0.00000000","0.00000000","218.06853583","27.42925350"
