Record Length,Sample Interval,Trigger Point,Source,Vertical Units,Vertical Scale,Vertical Offset,Horizontal Units,Horizontal Scale,Pt Fmt,Yzero,Probe Atten,Model Number,Serial Number,Firmware Version,T,V
2500,0.001,510,CH2,V,1,-2.28,s,0.25,Y,0,1,TDS2014C,C014547,FV:v24.18 rus,-0.51,0
,,,,,,,,,,,,,,,-0.509,-0.04
,,,,,,,,,,,,,,,-0.508,0
,,,,,,,,,,,,,,,-0.507,0
,,,,,,,,,,,,,,,-0.506,-0.04
,,,,,,,,,,,,,,,-0.505,0
,,,,,,,,,,,,,,,-0.504,0
,,,,,,,,,,,,,,,-0.503,0
,,,,,,,,,,,,,,,-0.502,0
,,,,,,,,,,,,,,,-0.501,0
,,,,,,,,,,,,,,,-0.5,0
,,,,,,,,,,,,,,,-0.499,-0.04
,,,,,,,,,,,,,,,-0.498,0
,,,,,,,,,,,,,,,-0.497,0
,,,,,,,,,,,,,,,-0.496,-0.04
,,,,,,,,,,,,,,,-0.495,0
,,,,,,,,,,,,,,,-0.494,0
,,,,,,,,,,,,,,,-0.493,0
,,,,,,,,,,,,,,,-0.492,0
,,,,,,,,,,,,,,,-0.491,0
,,,,,,,,,,,,,,,-0.49,-0.04
,,,,,,,,,,,,,,,-0.489,0
,,,,,,,,,,,,,,,-0.488,-0.04
,,,,,,,,,,,,,,,-0.487,-0.04
,,,,,,,,,,,,,,,-0.486,0
,,,,,,,,,,,,,,,-0.485,-0.04
,,,,,,,,,,,,,,,-0.484,-0.04
,,,,,,,,,,,,,,,-0.483,-0.04
,,,,,,,,,,,,,,,-0.482,-0.04
,,,,,,,,,,,,,,,-0.481,0
,,,,,,,,,,,,,,,-0.48,-0.04
,,,,,,,,,,,,,,,-0.479,0
,,,,,,,,,,,,,,,-0.478,0
,,,,,,,,,,,,,,,-0.477,0
,,,,,,,,,,,,,,,-0.476,0
,,,,,,,,,,,,,,,-0.475,0
,,,,,,,,,,,,,,,-0.474,-0.04
,,,,,,,,,,,,,,,-0.473,-0.04
,,,,,,,,,,,,,,,-0.472,0
,,,,,,,,,,,,,,,-0.471,0
,,,,,,,,,,,,,,,-0.47,-0.04
,,,,,,,,,,,,,,,-0.469,-0.04
,,,,,,,,,,,,,,,-0.468,0
,,,,,,,,,,,,,,,-0.467,-0.04
,,,,,,,,,,,,,,,-0.466,0
,,,,,,,,,,,,,,,-0.465,0
,,,,,,,,,,,,,,,-0.464,-0.04
,,,,,,,,,,,,,,,-0.463,-0.04
,,,,,,,,,,,,,,,-0.462,0
,,,,,,,,,,,,,,,-0.461,-0.04
,,,,,,,,,,,,,,,-0.46,-0.04
,,,,,,,,,,,,,,,-0.459,0
,,,,,,,,,,,,,,,-0.458,0
,,,,,,,,,,,,,,,-0.457,0
,,,,,,,,,,,,,,,-0.456,-0.04
,,,,,,,,,,,,,,,-0.455,-0.04
,,,,,,,,,,,,,,,-0.454,0
,,,,,,,,,,,,,,,-0.453,-0.04
,,,,,,,,,,,,,,,-0.452,-0.04
,,,,,,,,,,,,,,,-0.451,-0.04
,,,,,,,,,,,,,,,-0.45,0
,,,,,,,,,,,,,,,-0.449,-0.04
,,,,,,,,,,,,,,,-0.448,-0.04
,,,,,,,,,,,,,,,-0.447,0
,,,,,,,,,,,,,,,-0.446,0
,,,,,,,,,,,,,,,-0.445,0
,,,,,,,,,,,,,,,-0.444,0
,,,,,,,,,,,,,,,-0.443,-0.04
,,,,,,,,,,,,,,,-0.442,0
,,,,,,,,,,,,,,,-0.441,-0.04
,,,,,,,,,,,,,,,-0.44,0
,,,,,,,,,,,,,,,-0.439,0
,,,,,,,,,,,,,,,-0.438,0
,,,,,,,,,,,,,,,-0.437,-0.04
,,,,,,,,,,,,,,,-0.436,0
,,,,,,,,,,,,,,,-0.435,0
,,,,,,,,,,,,,,,-0.434,0
,,,,,,,,,,,,,,,-0.433,-0.04
,,,,,,,,,,,,,,,-0.432,-0.04
,,,,,,,,,,,,,,,-0.431,0
,,,,,,,,,,,,,,,-0.43,-0.04
,,,,,,,,,,,,,,,-0.429,-0.04
,,,,,,,,,,,,,,,-0.428,-0.04
,,,,,,,,,,,,,,,-0.427,-0.04
,,,,,,,,,,,,,,,-0.426,-0.04
,,,,,,,,,,,,,,,-0.425,-0.04
,,,,,,,,,,,,,,,-0.424,0
,,,,,,,,,,,,,,,-0.423,0
