T;V
-0.464;0
-0.462;-20
-0.46;0
-0.458;-20
-0.456;0
-0.454;0
-0.452;-20
-0.45;0
-0.448;0
-0.446;0
-0.444;0
-0.442;-20
-0.44;0
-0.438;0
-0.436;0
-0.434;0
-0.432;0
-0.43;-20
-0.428;-20
-0.426;0
-0.424;0
-0.422;0
-0.42;-20
-0.418;0
-0.416;0
-0.414;0
-0.412;0
-0.41;0
-0.408;0
-0.406;0
-0.404;0
-0.402;0
-0.4;-20
-0.398;-20
-0.396;0
-0.394;-20
-0.392;0
-0.39;0
-0.388;0
-0.386;-20
-0.384;0
-0.382;0
-0.38;0
-0.378;0
-0.376;0
-0.374;0
-0.372;-20
-0.37;0
-0.368;-20
-0.366;0
-0.364;0
-0.362;-20
-0.36;0
-0.358;-20
-0.356;-20
-0.354;0
-0.352;0
-0.35;0
-0.348;0
-0.346;-20
-0.344;0
-0.342;0
-0.34;0
-0.338;0
-0.336;0
-0.334;-20
-0.332;0
-0.33;0
-0.328;0
-0.326;0
-0.324;0
-0.322;-20
-0.32;-20
-0.318;0
-0.316;0
-0.314;0
-0.312;-20
-0.31;0
-0.308;0
-0.306;0
-0.304;0
-0.302;0
-0.3;0
-0.298;0
-0.296;0
-0.294;0
-0.292;0
-0.29;0
-0.288;0
-0.286;-20
-0.284;20
-0.282;0
-0.28;-20
-0.278;0
-0.276;0
-0.274;0
-0.272;0
-0.27;0
-0.268;0
-0.266;0
-0.264;20
-0.262;0
-0.26;0
-0.258;0
-0.256;0
-0.254;0
-0.252;-20
-0.25;-20
-0.248;0
-0.246;0
-0.244;0
-0.242;0
-0.24;0
-0.238;0
-0.236;0
-0.234;0
-0.232;0
-0.23;0
-0.228;0
-0.226;0
-0.224;0
-0.222;0
-0.22;0
-0.218;0
-0.216;0
-0.214;0
-0.212;0
-0.21;0
-0.208;0
-0.206;0
-0.204;0
-0.202;-20
-0.2;0
-0.198;0
-0.196;0
-0.194;-20
-0.192;0
-0.19;-20
-0.188;0
-0.186;-20
-0.184;-20
-0.182;-20
-0.18;-20
-0.178;0
-0.176;-20
-0.174;0
-0.172;0
-0.17;-20
-0.168;0
-0.166;0
-0.164;0
-0.162;0
-0.16;0
-0.158;0
-0.156;0
-0.154;0
-0.152;0
-0.15;0
-0.148;0
-0.146;0
-0.144;0
-0.142;-20
-0.14;0
-0.138;0
-0.136;0
-0.134;-20
-0.132;0
-0.13;0
-0.128;-20
-0.126;-20
-0.124;0
-0.122;0
-0.12;0
-0.118;0
-0.116;0
-0.114;0
-0.112;0
-0.11;0
-0.108;0
-0.106;-20
-0.104;0
-0.102;0
-0.1;0
-0.098;-20
-0.096;-20
-0.094;0
-0.092;0
-0.09;0
-0.088;0
-0.086;-20
-0.084;0
-0.082;20
-0.08;20
-0.078;60
-0.076;60
-0.074;80
-0.072;120
-0.07;120
-0.068;140
-0.066;160
-0.064;160
-0.062;180
-0.06;220
-0.058;220
-0.056;240
-0.054;260
-0.052;280
-0.05;280
-0.048;320
-0.046;340
-0.044;340
-0.042;360
-0.04;380
-0.038;380
-0.036;420
-0.034;460
-0.032;460
-0.03;480
-0.028;480
-0.026;480
-0.024;500
-0.022;500
-0.02;540
-0.018;560
-0.016;580
-0.014;580
-0.012;600
-0.01;600
-0.008;600
-0.006;640
-0.004;640
-0.002;660
0;660
0.002;680
0.004;680
0.006;700
0.008;720
0.01;740
0.012;740
0.014;760
0.016;760
0.018;780
0.02;780
0.022;800
0.024;800
0.026;840
0.028;840
0.03;860
0.032;860
0.034;860
0.036;880
0.038;900
0.04;900
0.042;920
0.044;920
0.046;940
0.048;960
0.05;960
0.052;980
0.054;980
0.056;960
0.058;1000
0.06;1020
0.062;1000
0.064;1040
0.066;1040
0.068;1040
0.07;1060
0.072;1060
0.074;1080
0.076;1080
0.078;1100
0.08;1100
0.082;1120
0.084;1120
0.086;1140
0.088;1140
0.09;1160
0.092;1160
0.094;1160
0.096;1180
0.098;1180
0.1;1200
0.102;1200
0.104;1220
0.106;1240
0.108;1240
0.11;1240
0.112;1240
0.114;1260
0.116;1260
0.118;1240
0.12;1260
0.122;1280
0.124;1280
0.126;1300
0.128;1300
0.13;1320
0.132;1320
0.134;1320
0.136;1340
0.138;1340
0.14;1340
0.142;1360
0.144;1360
0.146;1380
0.148;1360
0.15;1400
0.152;1380
0.154;1400
0.156;1400
0.158;1380
0.16;1420
0.162;1420
0.164;1420
0.166;1440
0.168;1440
0.17;1460
0.172;1460
0.174;1460
