,,,T,V
Record Length,2500,,-0.5,-0.02
Sample Interval,0.002,,-0.498,-0.04
Trigger Point,250,,-0.496,-0.02
,,,-0.494,0
,,,-0.492,0.02
,,,-0.49,-0.02
Source,CH3,,-0.488,-0.02
Vertical Units,V,,-0.486,-0.02
Vertical Scale,0.5,,-0.484,-0.02
Vertical Offset,-1.52,,-0.482,-0.02
Horizontal Units,s,,-0.48,-0.02
Horizontal Scale,0.5,,-0.478,-0.02
Pt Fmt,Y,,-0.476,-0.02
Yzero,0,,-0.474,-0.02
Probe Atten,1,,-0.472,-0.02
Model Number,TDS2014C,,-0.47,-0.02
Serial Number,C014547,,-0.468,-0.02
Firmware Version,FV:v24.18 rus,,-0.466,-0.04
,,,-0.464,-0.02
,,,-0.462,-0.02
,,,-0.46,0
,,,-0.458,-0.02
,,,-0.456,-0.02
,,,-0.454,-0.02
,,,-0.452,-0.02
,,,-0.45,-0.02
,,,-0.448,-0.02
,,,-0.446,-0.02
,,,-0.444,-0.02
,,,-0.442,-0.02
,,,-0.44,-0.02
,,,-0.438,-0.02
,,,-0.436,-0.02
,,,-0.434,-0.02
,,,-0.432,-0.02
,,,-0.43,-0.02
,,,-0.428,-0.02
,,,-0.426,-0.02
,,,-0.424,0
,,,-0.422,-0.02
,,,-0.42,-0.02
,,,-0.418,-0.02
,,,-0.416,-0.02
,,,-0.414,-0.02
,,,-0.412,0
,,,-0.41,-0.02
,,,-0.408,-0.02
,,,-0.406,-0.02
,,,-0.404,-0.02
,,,-0.402,-0.02
,,,-0.4,-0.02
,,,-0.398,-0.02
,,,-0.396,-0.02
,,,-0.394,-0.02
,,,-0.392,-0.02
,,,-0.39,-0.02
,,,-0.388,-0.02
,,,-0.386,-0.02
,,,-0.384,-0.02
,,,-0.382,-0.02
,,,-0.38,-0.02
,,,-0.378,-0.02
,,,-0.376,-0.04
,,,-0.374,-0.02
,,,-0.372,-0.02
,,,-0.37,-0.02
,,,-0.368,-0.02
,,,-0.366,-0.02
,,,-0.364,-0.02
,,,-0.362,-0.02
,,,-0.36,-0.02
,,,-0.358,-0.04
,,,-0.356,-0.02
,,,-0.354,-0.02
,,,-0.352,0
,,,-0.35,-0.02
,,,-0.348,-0.02
,,,-0.346,-0.02
,,,-0.344,0
,,,-0.342,-0.02
,,,-0.34,0
,,,-0.338,-0.02
,,,-0.336,-0.02
,,,-0.334,0
,,,-0.332,-0.02
,,,-0.33,-0.02
,,,-0.328,-0.02
,,,-0.326,-0.02
,,,-0.324,-0.02
,,,-0.322,-0.02
,,,-0.32,-0.02
,,,-0.318,-0.02
,,,-0.316,-0.02
,,,-0.314,-0.02
,,,-0.312,-0.02
,,,-0.31,-0.02
,,,-0.308,-0.02
,,,-0.306,0
,,,-0.304,0
,,,-0.302,-0.02
,,,-0.3,-0.02
,,,-0.298,-0.02
,,,-0.296,-0.02
,,,-0.294,-0.02
,,,-0.292,0
,,,-0.29,0
,,,-0.288,-0.02
,,,-0.286,-0.02
,,,-0.284,-0.04
,,,-0.282,-0.02
,,,-0.28,-0.02
,,,-0.278,-0.02
,,,-0.276,-0.02
,,,-0.274,-0.02
,,,-0.272,-0.02
,,,-0.27,-0.02
,,,-0.268,-0.02
,,,-0.266,0
,,,-0.264,-0.02
,,,-0.262,-0.04
,,,-0.26,0
,,,-0.258,-0.02
,,,-0.256,-0.02
,,,-0.254,0
,,,-0.252,-0.02
,,,-0.25,-0.02
,,,-0.248,-0.02
,,,-0.246,0
,,,-0.244,0
,,,-0.242,-0.02
,,,-0.24,0
,,,-0.238,-0.02
,,,-0.236,-0.02
,,,-0.234,0
,,,-0.232,-0.02
,,,-0.23,-0.02
,,,-0.228,-0.02
,,,-0.226,0
,,,-0.224,0
,,,-0.222,-0.02
,,,-0.22,-0.02
,,,-0.218,-0.02
,,,-0.216,-0.02
,,,-0.214,-0.02
,,,-0.212,-0.02
,,,-0.21,-0.02
,,,-0.208,-0.02
,,,-0.206,0
,,,-0.204,-0.02
,,,-0.202,0
,,,-0.2,-0.02
,,,-0.198,-0.02
,,,-0.196,-0.02
,,,-0.194,-0.02
,,,-0.192,-0.02
,,,-0.19,-0.02
,,,-0.188,-0.02
,,,-0.186,0
,,,-0.184,-0.02
,,,-0.182,-0.02
,,,-0.18,-0.02
,,,-0.178,-0.02
,,,-0.176,-0.02
,,,-0.174,-0.02
,,,-0.172,0
,,,-0.17,-0.02
,,,-0.168,0
,,,-0.166,-0.02
,,,-0.164,-0.02
,,,-0.162,-0.02
,,,-0.16,-0.02
,,,-0.158,-0.02
,,,-0.156,-0.02
,,,-0.154,-0.02
,,,-0.152,-0.02
,,,-0.15,-0.02
,,,-0.148,-0.02
,,,-0.146,-0.02
,,,-0.144,0
,,,-0.142,0
,,,-0.14,-0.02
,,,-0.138,-0.02
,,,-0.136,-0.02
,,,-0.134,-0.02
,,,-0.132,-0.02
,,,-0.13,-0.02
,,,-0.128,-0.02
,,,-0.126,-0.02
,,,-0.124,-0.02
,,,-0.122,0
,,,-0.12,0
,,,-0.118,0
,,,-0.116,-0.02
,,,-0.114,-0.02
,,,-0.112,-0.02
,,,-0.11,-0.02
,,,-0.108,0
,,,-0.106,-0.02
,,,-0.104,-0.02
,,,-0.102,-0.02
,,,-0.1,-0.02
,,,-0.098,-0.02
,,,-0.096,-0.02
,,,-0.094,-0.02
,,,-0.092,-0.02
,,,-0.09,-0.02
,,,-0.088,0
,,,-0.086,-0.02
,,,-0.084,0
,,,-0.082,0
,,,-0.08,0
,,,-0.078,0
,,,-0.076,-0.02
,,,-0.074,-0.02
,,,-0.072,-0.02
,,,-0.07,-0.02
,,,-0.068,-0.02
,,,-0.066,-0.02
,,,-0.064,-0.02
,,,-0.062,-0.02
,,,-0.06,-0.02
,,,-0.058,-0.02
,,,-0.056,-0.02
,,,-0.054,-0.02
,,,-0.052,-0.02
,,,-0.05,0
,,,-0.048,-0.02
,,,-0.046,0
,,,-0.044,-0.02
,,,-0.042,-0.02
,,,-0.04,-0.02
,,,-0.038,0
,,,-0.036,-0.02
,,,-0.034,-0.02
,,,-0.032,0
,,,-0.03,0
,,,-0.028,-0.02
,,,-0.026,-0.02
,,,-0.024,-0.02
,,,-0.022,-0.02
,,,-0.02,0
,,,-0.018,-0.02
,,,-0.016,-0.02
,,,-0.014,-0.04
,,,-0.012,-0.02
,,,-0.01,-0.02
,,,-0.008,0
,,,-0.006,-0.02
,,,-0.004,-0.02
,,,-0.002,-0.02
,,,0,-0.02
,,,0.002,-0.02
,,,0.004,-0.02
,,,0.006,0
,,,0.008,-0.02
,,,0.01,0
,,,0.012,-0.02
,,,0.014,-0.02
,,,0.016,-0.02
,,,0.018,0
,,,0.02,-0.02
,,,0.022,-0.04
,,,0.024,-0.02
,,,0.026,-0.02
,,,0.028,0
,,,0.03,-0.02
,,,0.032,-0.02
,,,0.034,-0.02
,,,0.036,-0.02
,,,0.038,-0.02
,,,0.04,-0.02
,,,0.042,-0.02
,,,0.044,-0.02
,,,0.046,0
,,,0.048,-0.02
,,,0.05,-0.02
,,,0.052,-0.02
,,,0.054,-0.02
,,,0.056,-0.02
,,,0.058,-0.02
,,,0.06,-0.02
,,,0.062,-0.02
,,,0.064,-0.02
,,,0.066,-0.02
,,,0.068,-0.02
,,,0.07,-0.04
,,,0.072,-0.02
,,,0.074,-0.02
,,,0.076,-0.02
,,,0.078,-0.02
,,,0.08,-0.02
,,,0.082,-0.02
,,,0.084,-0.02
,,,0.086,0
,,,0.088,-0.02
,,,0.09,-0.02
,,,0.092,0
,,,0.094,-0.02
,,,0.096,-0.02
,,,0.098,-0.02
,,,0.1,-0.02
,,,0.102,-0.02
,,,0.104,-0.02
,,,0.106,-0.02
,,,0.108,-0.02
,,,0.11,-0.02
,,,0.112,-0.02
,,,0.114,-0.04
,,,0.116,-0.02
,,,0.118,0
,,,0.12,-0.02
,,,0.122,-0.02
,,,0.124,0
,,,0.126,-0.04
,,,0.128,-0.02
,,,0.13,0
,,,0.132,-0.02
,,,0.134,-0.02
,,,0.136,-0.02
,,,0.138,-0.02
,,,0.14,-0.02
,,,0.142,-0.02
,,,0.144,-0.02
,,,0.146,-0.02
,,,0.148,-0.02
,,,0.15,0
,,,0.152,-0.02
,,,0.154,-0.02
,,,0.156,0
,,,0.158,0
,,,0.16,-0.02
,,,0.162,-0.02
,,,0.164,-0.02
,,,0.166,0
,,,0.168,-0.02
,,,0.17,0
,,,0.172,0
,,,0.174,0
,,,0.176,-0.02
,,,0.178,-0.02
,,,0.18,-0.02
,,,0.182,-0.02
,,,0.184,-0.02
,,,0.186,0
,,,0.188,0
,,,0.19,-0.02
,,,0.192,-0.02
,,,0.194,-0.02
,,,0.196,-0.02
,,,0.198,-0.02
,,,0.2,-0.02
,,,0.202,0
,,,0.204,0
,,,0.206,0
,,,0.208,0
,,,0.21,0
,,,0.212,0
,,,0.214,-0.02
,,,0.216,0
,,,0.218,0
,,,0.22,-0.02
,,,0.222,0.02
,,,0.224,-0.02
,,,0.226,0.02
,,,0.228,0.02
,,,0.23,0.02
,,,0.232,0.02
,,,0.234,0
,,,0.236,0.02
,,,0.238,0.02
,,,0.24,0.02
,,,0.242,0.02
,,,0.244,0.04
,,,0.246,0.04
,,,0.248,0.02
,,,0.25,0.04
,,,0.252,0.04
,,,0.254,0.04
,,,0.256,0.04
,,,0.258,0.06
,,,0.26,0.04
,,,0.262,0.04
,,,0.264,0.08
,,,0.266,0.04
,,,0.268,0.06
,,,0.27,0.06
,,,0.272,0.06
,,,0.274,0.08
,,,0.276,0.06
,,,0.278,0.06
,,,0.28,0.08
,,,0.282,0.08
,,,0.284,0.08
,,,0.286,0.08
,,,0.288,0.1
,,,0.29,0.08
,,,0.292,0.1
,,,0.294,0.12
,,,0.296,0.12
,,,0.298,0.12
,,,0.3,0.14
,,,0.302,0.14
,,,0.304,0.14
,,,0.306,0.12
,,,0.308,0.14
,,,0.31,0.16
,,,0.312,0.14
,,,0.314,0.16
,,,0.316,0.14
,,,0.318,0.18
,,,0.32,0.16
,,,0.322,0.18
,,,0.324,0.18
,,,0.326,0.18
,,,0.328,0.2
,,,0.33,0.18
,,,0.332,0.18
,,,0.334,0.2
,,,0.336,0.2
,,,0.338,0.22
,,,0.34,0.22
,,,0.342,0.24
,,,0.344,0.26
,,,0.346,0.28
,,,0.348,0.26
,,,0.35,0.26
,,,0.352,0.28
,,,0.354,0.28
,,,0.356,0.3
,,,0.358,0.28
,,,0.36,0.32
,,,0.362,0.3
,,,0.364,0.32
,,,0.366,0.32
,,,0.368,0.32
,,,0.37,0.34
,,,0.372,0.34
,,,0.374,0.34
,,,0.376,0.36
,,,0.378,0.38
,,,0.38,0.36
,,,0.382,0.38
,,,0.384,0.4
,,,0.386,0.38
,,,0.388,0.4
,,,0.39,0.4
,,,0.392,0.42
,,,0.394,0.44
,,,0.396,0.42
,,,0.398,0.42
,,,0.4,0.44
,,,0.402,0.46
,,,0.404,0.46
,,,0.406,0.48
,,,0.408,0.48
,,,0.41,0.48
,,,0.412,0.5
,,,0.414,0.5
,,,0.416,0.5
,,,0.418,0.52
,,,0.42,0.52
,,,0.422,0.52
,,,0.424,0.54
,,,0.426,0.52
,,,0.428,0.56
,,,0.43,0.56
,,,0.432,0.58
,,,0.434,0.58
,,,0.436,0.58
,,,0.438,0.58
,,,0.44,0.58
,,,0.442,0.6
,,,0.444,0.6
,,,0.446,0.62
,,,0.448,0.64
,,,0.45,0.64
,,,0.452,0.66
,,,0.454,0.66
,,,0.456,0.66
,,,0.458,0.66
,,,0.46,0.68
,,,0.462,0.68
,,,0.464,0.68
,,,0.466,0.7
,,,0.468,0.68
,,,0.47,0.72
,,,0.472,0.72
,,,0.474,0.74
,,,0.476,0.78
,,,0.478,0.78
,,,0.48,0.78
,,,0.482,0.78
,,,0.484,0.82
,,,0.486,0.8
,,,0.488,0.8
,,,0.49,0.82
,,,0.492,0.82
,,,0.494,0.82
,,,0.496,0.82
,,,0.498,0.82
,,,0.5,0.84
,,,0.502,0.86
,,,0.504,0.86
,,,0.506,0.88
,,,0.508,0.88
