U+AF8-ak,U+AF8-cap,U+AF8-acp,I,nu,razmach+AF8-input,razmach+AF8-output,otnoshenie
2,,,48179,0.1,100,1404559,14045.59
5,,,34784,0.2,100,2039533,20395.33
10,,,165523,0.5,100,2587991,25879.91
15,,,370548,1,100,2901433,29014.33
20,,,577433,2,100,2211914,22119.14
30,,,738194,5,100,1816568,18165.68
40,,,1028402,10,100,619801,6198.01
50,,,1287944,20,100,332820,3328.2
100,,,1476790,,,,
200,,,2161153,,,,
300,,,3359112,,,,
400,,,4291718,,,,
500,,,4755923,,,,
600,,,5265968,,,,
700,,,5781500,,,,
800,,,5839929,,,,
