  Measurement Number     Measurement type
                   1                DC IV

      Measurement ID             SeriesID
       739662.679241                    0

         MeasureMode                Bias1                Bias2
                   2                   -1                    1

                Step  Positive compliance  Negative compliance
                0.01                  0.1                  0.1

  RealMeasuredPoints
                 404

        Bias        Current     Resistance
0.0000e+00   -4.7884e-07   -0.0000e+00
-1.0000e-02   -8.6153e-07   1.1607e+04
-2.0000e-02   -1.2351e-06   1.6193e+04
-3.0000e-02   -1.5969e-06   1.8787e+04
-4.0000e-02   -1.9443e-06   2.0573e+04
-5.0000e-02   -2.2753e-06   2.1975e+04
-6.0000e-02   -2.5944e-06   2.3127e+04
-7.0000e-02   -2.9004e-06   2.4135e+04
-8.0000e-02   -3.1939e-06   2.5048e+04
-9.0000e-02   -3.4767e-06   2.5886e+04
-1.0000e-01   -3.7483e-06   2.6679e+04
-1.1000e-01   -4.0143e-06   2.7402e+04
-1.2000e-01   -4.2731e-06   2.8083e+04
-1.3000e-01   -4.5268e-06   2.8718e+04
-1.4000e-01   -4.7748e-06   2.9321e+04
-1.5000e-01   -5.0183e-06   2.9891e+04
-1.6000e-01   -5.2556e-06   3.0443e+04
-1.7000e-01   -5.4923e-06   3.0952e+04
-1.8000e-01   -5.7253e-06   3.1439e+04
-1.9000e-01   -5.9552e-06   3.1905e+04
-2.0000e-01   -6.1823e-06   3.2350e+04
-2.1000e-01   -6.4051e-06   3.2786e+04
-2.2000e-01   -6.6265e-06   3.3200e+04
-2.3000e-01   -6.8454e-06   3.3599e+04
-2.4000e-01   -7.0619e-06   3.3985e+04
-2.5000e-01   -7.2749e-06   3.4365e+04
-2.6000e-01   -7.4834e-06   3.4744e+04
-2.7000e-01   -7.6909e-06   3.5106e+04
-2.8000e-01   -7.8953e-06   3.5464e+04
-2.9000e-01   -8.0969e-06   3.5816e+04
-3.0000e-01   -8.2961e-06   3.6162e+04
-3.1000e-01   -8.4903e-06   3.6512e+04
-3.2000e-01   -8.6837e-06   3.6851e+04
-3.3000e-01   -8.8737e-06   3.7188e+04
-3.4000e-01   -9.0610e-06   3.7523e+04
-3.5000e-01   -9.2450e-06   3.7858e+04
-3.6000e-01   -9.4251e-06   3.8196e+04
-3.7000e-01   -9.6030e-06   3.8529e+04
-3.8000e-01   -9.7780e-06   3.8863e+04
-3.9000e-01   -9.9508e-06   3.9193e+04
-4.0000e-01   -1.0119e-05   3.9530e+04
-4.1000e-01   -1.0285e-05   3.9862e+04
-4.2000e-01   -1.0449e-05   4.0194e+04
-4.3000e-01   -1.0610e-05   4.0528e+04
-4.4000e-01   -1.0767e-05   4.0867e+04
-4.5000e-01   -1.0922e-05   4.1201e+04
-4.6000e-01   -1.1075e-05   4.1535e+04
-4.7000e-01   -1.1225e-05   4.1873e+04
-4.8000e-01   -1.1371e-05   4.2213e+04
-4.9000e-01   -1.1511e-05   4.2568e+04
-5.0000e-01   -1.1653e-05   4.2907e+04
-5.1000e-01   -1.1794e-05   4.3243e+04
-5.2000e-01   -1.1930e-05   4.3589e+04
-5.3000e-01   -1.2065e-05   4.3929e+04
-5.4000e-01   -1.2197e-05   4.4273e+04
-5.5000e-01   -1.2327e-05   4.4617e+04
-5.6000e-01   -1.2454e-05   4.4964e+04
-5.7000e-01   -1.2579e-05   4.5315e+04
-5.8000e-01   -1.2702e-05   4.5664e+04
-5.9000e-01   -1.2822e-05   4.6013e+04
-6.0000e-01   -1.2941e-05   4.6365e+04
-6.1000e-01   -1.3056e-05   4.6722e+04
-6.2000e-01   -1.3170e-05   4.7076e+04
-6.3000e-01   -1.3282e-05   4.7432e+04
-6.4000e-01   -1.3392e-05   4.7790e+04
-6.5000e-01   -1.3500e-05   4.8147e+04
-6.6000e-01   -1.3605e-05   4.8512e+04
-6.7000e-01   -1.3709e-05   4.8873e+04
-6.8000e-01   -1.3811e-05   4.9236e+04
-6.9000e-01   -1.3911e-05   4.9602e+04
-7.0000e-01   -1.4009e-05   4.9969e+04
-7.1000e-01   -1.4106e-05   5.0334e+04
-7.2000e-01   -1.4201e-05   5.0702e+04
-7.3000e-01   -1.4293e-05   5.1075e+04
-7.4000e-01   -1.4384e-05   5.1446e+04
-7.5000e-01   -1.4474e-05   5.1818e+04
-7.6000e-01   -1.4562e-05   5.2192e+04
-7.7000e-01   -1.4648e-05   5.2566e+04
-7.8000e-01   -1.4733e-05   5.2942e+04
-7.9000e-01   -1.4817e-05   5.3318e+04
-8.0000e-01   -1.4899e-05   5.3696e+04
-8.1000e-01   -1.4979e-05   5.4078e+04
-8.2000e-01   -1.5057e-05   5.4458e+04
-8.3000e-01   -1.5134e-05   5.4842e+04
-8.4000e-01   -1.5211e-05   5.5224e+04
-8.5000e-01   -1.5285e-05   5.5609e+04
-8.6000e-01   -1.5358e-05   5.5998e+04
-8.7000e-01   -1.5431e-05   5.6381e+04
-8.8000e-01   -1.5501e-05   5.6769e+04
