  Measurement Number     Measurement type
                   1                DC IV

      Measurement ID             SeriesID
       739662.677238                    0

         MeasureMode                Bias1                Bias2
                   2                   -1                    1

                Step  Positive compliance  Negative compliance
                0.01                  0.1                  0.1

  RealMeasuredPoints
                 404

        Bias        Current     Resistance
0.0000e+00   8.6415e-06   0.0000e+00
-1.0000e-02   8.4308e-06   -1.1861e+03
-2.0000e-02   8.2168e-06   -2.4340e+03
-3.0000e-02   7.9990e-06   -3.7505e+03
-4.0000e-02   7.7784e-06   -5.1424e+03
-5.0000e-02   7.5564e-06   -6.6169e+03
-6.0000e-02   7.3288e-06   -8.1869e+03
-7.0000e-02   7.0976e-06   -9.8625e+03
-8.0000e-02   6.8629e-06   -1.1657e+04
-9.0000e-02   6.6247e-06   -1.3586e+04
-1.0000e-01   6.3855e-06   -1.5661e+04
-1.1000e-01   6.1393e-06   -1.7917e+04
-1.2000e-01   5.8900e-06   -2.0374e+04
-1.3000e-01   5.6366e-06   -2.3063e+04
-1.4000e-01   5.3788e-06   -2.6028e+04
-1.5000e-01   5.1165e-06   -2.9317e+04
-1.6000e-01   4.8508e-06   -3.2985e+04
-1.7000e-01   4.5761e-06   -3.7149e+04
-1.8000e-01   4.2942e-06   -4.1917e+04
-1.9000e-01   4.0023e-06   -4.7472e+04
-2.0000e-01   3.6986e-06   -5.4074e+04
-2.1000e-01   3.3819e-06   -6.2095e+04
-2.2000e-01   3.0430e-06   -7.2297e+04
-2.3000e-01   2.6779e-06   -8.5888e+04
-2.4000e-01   2.2786e-06   -1.0533e+05
-2.5000e-01   1.8350e-06   -1.3624e+05
-2.6000e-01   1.3375e-06   -1.9439e+05
-2.7000e-01   7.6457e-07   -3.5314e+05
-2.8000e-01   9.4422e-08   -2.9654e+06
-2.9000e-01   -6.9528e-07   4.1710e+05
-3.0000e-01   -1.6315e-06   1.8388e+05
-3.1000e-01   -2.7412e-06   1.1309e+05
-3.2000e-01   -4.0723e-06   7.8580e+04
-3.3000e-01   -5.6489e-06   5.8418e+04
-3.4000e-01   -7.5036e-06   4.5312e+04
-3.5000e-01   -9.6579e-06   3.6240e+04
-3.6000e-01   -1.2107e-05   2.9736e+04
-3.7000e-01   -1.4924e-05   2.4792e+04
-3.8000e-01   -1.8087e-05   2.1009e+04
-3.9000e-01   -2.1591e-05   1.8063e+04
-4.0000e-01   -2.5403e-05   1.5746e+04
-4.1000e-01   -2.9565e-05   1.3868e+04
-4.2000e-01   -3.4036e-05   1.2340e+04
-4.3000e-01   -3.8804e-05   1.1081e+04
-4.4000e-01   -4.3814e-05   1.0042e+04
-4.5000e-01   -4.9108e-05   9.1634e+03
-4.6000e-01   -5.4646e-05   8.4179e+03
-4.7000e-01   -6.0400e-05   7.7815e+03
-4.8000e-01   -6.6320e-05   7.2377e+03
-4.9000e-01   -7.2473e-05   6.7611e+03
-5.0000e-01   -7.8806e-05   6.3447e+03
-5.1000e-01   -8.5289e-05   5.9797e+03
-5.2000e-01   -9.1876e-05   5.6598e+03
-5.3000e-01   -9.8652e-05   5.3724e+03
-5.4000e-01   -1.0555e-04   5.1162e+03
-5.5000e-01   -1.1257e-04   4.8860e+03
-5.6000e-01   -1.1977e-04   4.6757e+03
-5.7000e-01   -1.2693e-04   4.4905e+03
-5.8000e-01   -1.3425e-04   4.3205e+03
-5.9000e-01   -1.4165e-04   4.1651e+03
-6.0000e-01   -1.4912e-04   4.0236e+03
-6.1000e-01   -1.5661e-04   3.8950e+03
-6.2000e-01   -1.6423e-04   3.7753e+03
-6.3000e-01   -1.7191e-04   3.6648e+03
-6.4000e-01   -1.7964e-04   3.5628e+03
-6.5000e-01   -1.8742e-04   3.4681e+03
-6.6000e-01   -1.9520e-04   3.3812e+03
-6.7000e-01   -2.0308e-04   3.2991e+03
-6.8000e-01   -2.1101e-04   3.2226e+03
-6.9000e-01   -2.1898e-04   3.1509e+03
-7.0000e-01   -2.2699e-04   3.0839e+03
-7.1000e-01   -2.3503e-04   3.0209e+03
-7.2000e-01   -2.4311e-04   2.9616e+03
-7.3000e-01   -2.5116e-04   2.9065e+03
-7.4000e-01   -2.5931e-04   2.8537e+03
-7.5000e-01   -2.6749e-04   2.8038e+03
-7.6000e-01   -2.7570e-04   2.7567e+03
-7.7000e-01   -2.8392e-04   2.7121e+03
-7.8000e-01   -2.9218e-04   2.6696e+03
-7.9000e-01   -3.0041e-04   2.6297e+03
-8.0000e-01   -3.0874e-04   2.5912e+03
-8.1000e-01   -3.1708e-04   2.5545e+03
-8.2000e-01   -3.2546e-04   2.5195e+03
-8.3000e-01   -3.3385e-04   2.4862e+03
-8.4000e-01   -3.4227e-04   2.4542e+03
-8.5000e-01   -3.5065e-04   2.4240e+03
-8.6000e-01   -3.5913e-04   2.3947e+03
-8.7000e-01   -3.6761e-04   2.3666e+03
-8.8000e-01   -3.7613e-04   2.3396e+03
