  Measurement Number     Measurement type
                   2           CVSweepNew

      Measurement ID             SeriesID
       739662.678482                    0

         MeasureMode                Start                 Stop
                   1                    0                    1

                Step           Sweep mode            Frequency
                0.01                    3               100000

            AC level                Abort          After abort
                0.01                    0                    1

           Hold time           Delay time      Stop delay time
                   0                    0                    0

  RealMeasuredPoints
                 202

     Voltage   Resistance    Reactance      ACLevel    Frequency
3.9120e-03 4.7795e+04 -9.5996e+02 6.9622e-03 1.0000e+05
1.4024e-02 4.8558e+04 -8.8696e+02 6.9616e-03 1.0000e+05
2.4080e-02 4.8994e+04 -6.6867e+02 6.9614e-03 1.0000e+05
3.4176e-02 5.0131e+04 -9.0202e+02 6.9604e-03 1.0000e+05
4.3968e-02 5.1061e+04 -8.9525e+02 6.9620e-03 1.0000e+05
5.4064e-02 5.1865e+04 -1.0690e+03 6.9620e-03 1.0000e+05
6.3920e-02 5.2301e+04 -1.0794e+03 6.9618e-03 1.0000e+05
7.3952e-02 5.3419e+04 -1.4016e+03 6.9636e-03 1.0000e+05
8.3704e-02 5.4322e+04 -1.5062e+03 6.9638e-03 1.0000e+05
9.3712e-02 5.5672e+04 -1.8074e+03 6.9611e-03 1.0000e+05
1.0363e-01 5.6306e+04 -2.2667e+03 6.9621e-03 1.0000e+05
1.1382e-01 5.8424e+04 -2.0105e+03 6.9628e-03 1.0000e+05
1.2330e-01 5.8692e+04 -2.0738e+03 6.9620e-03 1.0000e+05
1.3367e-01 5.9332e+04 -2.2249e+03 6.9633e-03 1.0000e+05
1.4349e-01 6.0133e+04 -1.6567e+03 6.9644e-03 1.0000e+05
1.5361e-01 6.1254e+04 -2.5866e+03 6.9640e-03 1.0000e+05
1.6338e-01 6.2224e+04 -2.2984e+03 6.9639e-03 1.0000e+05
1.7364e-01 6.3380e+04 -3.1035e+03 6.9630e-03 1.0000e+05
1.8319e-01 6.4717e+04 -2.9733e+03 6.9642e-03 1.0000e+05
1.9359e-01 6.6174e+04 -2.4536e+03 6.9635e-03 1.0000e+05
2.0337e-01 6.7199e+04 -3.4063e+03 6.9627e-03 1.0000e+05
2.1327e-01 6.8700e+04 -2.8634e+03 6.9635e-03 1.0000e+05
2.2350e-01 6.9865e+04 -2.9459e+03 6.9649e-03 1.0000e+05
