  Measurement Number     Measurement type
                   1                DC IV

      Measurement ID             SeriesID
       739662.647020                    0

         MeasureMode                Bias1                Bias2
                   2                   -1                    1

                Step  Positive compliance  Negative compliance
                0.02                  0.1                  0.1

  RealMeasuredPoints
                 204

        Bias        Current     Resistance
0.0000e+00   4.7598e-07   0.0000e+00
-2.0000e-02   -3.8512e-05   5.1932e+02
-4.0000e-02   -7.7536e-05   5.1589e+02
-6.0000e-02   -1.1645e-04   5.1524e+02
-8.0000e-02   -1.5539e-04   5.1484e+02
-1.0000e-01   -1.9416e-04   5.1504e+02
-1.2000e-01   -2.3304e-04   5.1493e+02
-1.4000e-01   -2.7189e-04   5.1491e+02
-1.6000e-01   -3.1053e-04   5.1526e+02
-1.8000e-01   -3.4932e-04   5.1528e+02
-2.0000e-01   -3.8808e-04   5.1536e+02
-2.2000e-01   -4.2667e-04   5.1562e+02
-2.4000e-01   -4.6539e-04   5.1570e+02
-2.6000e-01   -5.0394e-04   5.1594e+02
-2.8000e-01   -5.4261e-04   5.1603e+02
-3.0000e-01   -5.8126e-04   5.1612e+02
-3.2000e-01   -6.1975e-04   5.1634e+02
-3.4000e-01   -6.5838e-04   5.1642e+02
-3.6000e-01   -6.9683e-04   5.1662e+02
-3.8000e-01   -7.3541e-04   5.1672e+02
-4.0000e-01   -7.7383e-04   5.1691e+02
-4.2000e-01   -8.1237e-04   5.1700e+02
-4.4000e-01   -8.5076e-04   5.1719e+02
-4.6000e-01   -8.8926e-04   5.1729e+02
-4.8000e-01   -9.2758e-04   5.1748e+02
-5.0000e-01   -9.6605e-04   5.1757e+02
-5.2000e-01   -1.0044e-03   5.1774e+02
-5.4000e-01   -1.0428e-03   5.1783e+02
-5.6000e-01   -1.0812e-03   5.1792e+02
-5.8000e-01   -1.1195e-03   5.1807e+02
-6.0000e-01   -1.1578e-03   5.1821e+02
-6.2000e-01   -1.1961e-03   5.1834e+02
-6.4000e-01   -1.2345e-03   5.1844e+02
-6.6000e-01   -1.2727e-03   5.1858e+02
-6.8000e-01   -1.3110e-03   5.1868e+02
-7.0000e-01   -1.3494e-03   5.1875e+02
-7.2000e-01   -1.3876e-03   5.1887e+02
-7.4000e-01   -1.4258e-03   5.1899e+02
-7.6000e-01   -1.4641e-03   5.1909e+02
-7.8000e-01   -1.5023e-03   5.1919e+02
-8.0000e-01   -1.5405e-03   5.1931e+02
-8.2000e-01   -1.5788e-03   5.1939e+02
-8.4000e-01   -1.6170e-03   5.1948e+02
-8.6000e-01   -1.6551e-03   5.1961e+02
-8.8000e-01   -1.6933e-03   5.1971e+02
-9.0000e-01   -1.7315e-03   5.1978e+02
-9.2000e-01   -1.7696e-03   5.1989e+02
-9.4000e-01   -1.8077e-03   5.1999e+02
-9.6000e-01   -1.8458e-03   5.2011e+02
-9.8000e-01   -1.8839e-03   5.2019e+02
-1.0000e+00   -1.9221e-03   5.2027e+02
-1.0000e+00   -1.9221e-03   5.2026e+02
-9.8000e-01   -1.8839e-03   5.2019e+02
-9.6000e-01   -1.8458e-03   5.2009e+02
-9.4000e-01   -1.8078e-03   5.1997e+02
-9.2000e-01   -1.7695e-03   5.1991e+02
-9.0000e-01   -1.7315e-03   5.1978e+02
-8.8000e-01   -1.6934e-03   5.1967e+02
-8.6000e-01   -1.6551e-03   5.1959e+02
-8.4000e-01   -1.6171e-03   5.1946e+02
-8.2000e-01   -1.5788e-03   5.1938e+02
-8.0000e-01   -1.5406e-03   5.1928e+02
-7.8000e-01   -1.5025e-03   5.1914e+02
-7.6000e-01   -1.4642e-03   5.1905e+02
-7.4000e-01   -1.4260e-03   5.1895e+02
-7.2000e-01   -1.3878e-03   5.1880e+02
-7.0000e-01   -1.3495e-03   5.1873e+02
-6.8000e-01   -1.3111e-03   5.1863e+02
-6.6000e-01   -1.2729e-03   5.1852e+02
-6.4000e-01   -1.2346e-03   5.1839e+02
-6.2000e-01   -1.1963e-03   5.1829e+02
-6.0000e-01   -1.1580e-03   5.1813e+02
-5.8000e-01   -1.1196e-03   5.1805e+02
-5.6000e-01   -1.0813e-03   5.1789e+02
-5.4000e-01   -1.0429e-03   5.1780e+02
-5.2000e-01   -1.0044e-03   5.1770e+02
-5.0000e-01   -9.6619e-04   5.1750e+02
-4.8000e-01   -9.2766e-04   5.1743e+02
-4.6000e-01   -8.8930e-04   5.1726e+02
-4.4000e-01   -8.5072e-04   5.1721e+02
-4.2000e-01   -8.1234e-04   5.1703e+02
-4.0000e-01   -7.7378e-04   5.1694e+02
-3.8000e-01   -7.3537e-04   5.1675e+02
-3.6000e-01   -6.9679e-04   5.1666e+02
-3.4000e-01   -6.5833e-04   5.1646e+02
-3.2000e-01   -6.1971e-04   5.1637e+02
-3.0000e-01   -5.8121e-04   5.1616e+02
-2.8000e-01   -5.4257e-04   5.1607e+02
-2.6000e-01   -5.0390e-04   5.1597e+02
