  Measurement Number     Measurement type
                   2           CVSweepNew

      Measurement ID             SeriesID
       739662.648660                    0

         MeasureMode                Start                 Stop
                   1                    0                    1

                Step           Sweep mode            Frequency
                0.01                    3               100000

            AC level                Abort          After abort
                0.01                    0                    1

           Hold time           Delay time      Stop delay time
                   0                    0                    0

  RealMeasuredPoints
                 202

     Voltage   Resistance    Reactance      ACLevel    Frequency
3.3760e-03 5.0704e+02 4.5854e+00 6.3347e-03 1.0000e+05
1.2888e-02 5.0682e+02 4.4661e+00 6.3343e-03 1.0000e+05
2.1736e-02 5.0643e+02 4.4120e+00 6.3325e-03 1.0000e+05
3.1096e-02 5.0653e+02 4.2782e+00 6.3340e-03 1.0000e+05
4.0040e-02 5.0581e+02 4.4731e+00 6.3342e-03 1.0000e+05
4.9080e-02 5.0575e+02 4.3446e+00 6.3327e-03 1.0000e+05
5.7976e-02 5.0509e+02 4.6258e+00 6.3337e-03 1.0000e+05
6.7144e-02 5.0508e+02 4.2169e+00 6.3325e-03 1.0000e+05
7.6048e-02 5.0504e+02 4.4199e+00 6.3317e-03 1.0000e+05
8.5192e-02 5.0467e+02 4.7854e+00 6.3317e-03 1.0000e+05
9.4280e-02 5.0438e+02 4.6797e+00 6.3309e-03 1.0000e+05
1.0329e-01 5.0425e+02 4.6057e+00 6.3315e-03 1.0000e+05
1.1247e-01 5.0383e+02 4.6045e+00 6.3310e-03 1.0000e+05
1.2132e-01 5.0350e+02 4.4445e+00 6.3299e-03 1.0000e+05
1.3052e-01 5.0372e+02 4.6849e+00 6.3303e-03 1.0000e+05
1.3941e-01 5.0326e+02 4.5663e+00 6.3313e-03 1.0000e+05
1.4873e-01 5.0310e+02 4.8103e+00 6.3310e-03 1.0000e+05
1.5754e-01 5.0301e+02 4.4007e+00 6.3284e-03 1.0000e+05
1.6669e-01 5.0317e+02 4.2407e+00 6.3307e-03 1.0000e+05
1.7558e-01 5.0261e+02 4.7365e+00 6.3279e-03 1.0000e+05
1.8498e-01 5.0238e+02 4.3350e+00 6.3284e-03 1.0000e+05
1.9370e-01 5.0216e+02 4.5986e+00 6.3290e-03 1.0000e+05
2.0309e-01 5.0193e+02 4.3989e+00 6.3278e-03 1.0000e+05
2.1203e-01 5.0183e+02 4.4468e+00 6.3280e-03 1.0000e+05
