  Measurement Number     Measurement type
                   1                DC IV

      Measurement ID             SeriesID
       739662.650286                    0

         MeasureMode                Bias1                Bias2
                   2                   -1                    1

                Step  Positive compliance  Negative compliance
                0.02                  0.1                  0.1

  RealMeasuredPoints
                 204

        Bias        Current     Resistance
0.0000e+00   7.8344e-06   0.0000e+00
-2.0000e-02   7.4369e-06   -2.6893e+03
-4.0000e-02   7.0257e-06   -5.6934e+03
-6.0000e-02   6.6015e-06   -9.0889e+03
-8.0000e-02   6.1613e-06   -1.2984e+04
-1.0000e-01   5.7075e-06   -1.7521e+04
-1.2000e-01   5.2370e-06   -2.2914e+04
-1.4000e-01   4.7501e-06   -2.9473e+04
-1.6000e-01   4.2471e-06   -3.7673e+04
-1.8000e-01   3.7165e-06   -4.8432e+04
-2.0000e-01   3.1498e-06   -6.3496e+04
-2.2000e-01   2.5245e-06   -8.7146e+04
-2.4000e-01   1.7922e-06   -1.3391e+05
-2.6000e-01   8.7934e-07   -2.9568e+05
-2.8000e-01   -3.6370e-07   7.6987e+05
-3.0000e-01   -2.1469e-06   1.3974e+05
-3.2000e-01   -4.7940e-06   6.6750e+04
-3.4000e-01   -8.7266e-06   3.8961e+04
-3.6000e-01   -1.4321e-05   2.5139e+04
-3.8000e-01   -2.2058e-05   1.7228e+04
-4.0000e-01   -3.2068e-05   1.2474e+04
-4.2000e-01   -4.4469e-05   9.4447e+03
-4.4000e-01   -5.9077e-05   7.4479e+03
-4.6000e-01   -7.5794e-05   6.0691e+03
-4.8000e-01   -9.4246e-05   5.0930e+03
-5.0000e-01   -1.1434e-04   4.3731e+03
-5.2000e-01   -1.3570e-04   3.8319e+03
-5.4000e-01   -1.5822e-04   3.4129e+03
-5.6000e-01   -1.8166e-04   3.0827e+03
-5.8000e-01   -2.0576e-04   2.8189e+03
-6.0000e-01   -2.3057e-04   2.6023e+03
-6.2000e-01   -2.5583e-04   2.4235e+03
-6.4000e-01   -2.8165e-04   2.2723e+03
-6.6000e-01   -3.0782e-04   2.1441e+03
-6.8000e-01   -3.3449e-04   2.0330e+03
-7.0000e-01   -3.6155e-04   1.9361e+03
-7.2000e-01   -3.8899e-04   1.8510e+03
-7.4000e-01   -4.1669e-04   1.7759e+03
-7.6000e-01   -4.4486e-04   1.7084e+03
-7.8000e-01   -4.7336e-04   1.6478e+03
-8.0000e-01   -5.0210e-04   1.5933e+03
-8.2000e-01   -5.3127e-04   1.5435e+03
-8.4000e-01   -5.6073e-04   1.4981e+03
-8.6000e-01   -5.9038e-04   1.4567e+03
-8.8000e-01   -6.2038e-04   1.4185e+03
-9.0000e-01   -6.5062e-04   1.3833e+03
-9.2000e-01   -6.8100e-04   1.3510e+03
-9.4000e-01   -7.1172e-04   1.3208e+03
-9.6000e-01   -7.4249e-04   1.2929e+03
-9.8000e-01   -7.7359e-04   1.2668e+03
-1.0000e+00   -8.0484e-04   1.2425e+03
-1.0000e+00   -8.0477e-04   1.2426e+03
-9.8000e-01   -7.7340e-04   1.2671e+03
-9.6000e-01   -7.4223e-04   1.2934e+03
-9.4000e-01   -7.1134e-04   1.3214e+03
-9.2000e-01   -6.8055e-04   1.3518e+03
-9.0000e-01   -6.5011e-04   1.3844e+03
-8.8000e-01   -6.1979e-04   1.4198e+03
-8.6000e-01   -5.8971e-04   1.4583e+03
-8.4000e-01   -5.6002e-04   1.4999e+03
-8.2000e-01   -5.3051e-04   1.5457e+03
-8.0000e-01   -5.0128e-04   1.5959e+03
-7.8000e-01   -4.7250e-04   1.6508e+03
-7.6000e-01   -4.4397e-04   1.7118e+03
-7.4000e-01   -4.1575e-04   1.7799e+03
-7.2000e-01   -3.8802e-04   1.8556e+03
-7.0000e-01   -3.6056e-04   1.9414e+03
-6.8000e-01   -3.3348e-04   2.0391e+03
-6.6000e-01   -3.0680e-04   2.1512e+03
-6.4000e-01   -2.8063e-04   2.2806e+03
-6.2000e-01   -2.5479e-04   2.4333e+03
-6.0000e-01   -2.2953e-04   2.6140e+03
-5.8000e-01   -2.0471e-04   2.8332e+03
-5.6000e-01   -1.8062e-04   3.1005e+03
-5.4000e-01   -1.5719e-04   3.4354e+03
-5.2000e-01   -1.3469e-04   3.8607e+03
-5.0000e-01   -1.1336e-04   4.4106e+03
-4.8000e-01   -9.3210e-05   5.1496e+03
-4.6000e-01   -7.4779e-05   6.1515e+03
-4.4000e-01   -5.8109e-05   7.5720e+03
-4.2000e-01   -4.3575e-05   9.6386e+03
-4.0000e-01   -3.1275e-05   1.2790e+04
-3.8000e-01   -2.1398e-05   1.7759e+04
-3.6000e-01   -1.3813e-05   2.6063e+04
-3.4000e-01   -8.3340e-06   4.0797e+04
-3.2000e-01   -4.5209e-06   7.0783e+04
-3.0000e-01   -1.9605e-06   1.5302e+05
-2.8000e-01   -2.2236e-07   1.2592e+06
-2.6000e-01   9.9551e-07   -2.6117e+05
