  Measurement Number     Measurement type
                   2           CVSweepNew

      Measurement ID             SeriesID
       739662.652048                    0

         MeasureMode                Start                 Stop
                   1                    0                    1

                Step           Sweep mode            Frequency
                0.01                    3               100000

            AC level                Abort          After abort
                0.01                    0                    1

           Hold time           Delay time      Stop delay time
                   0                    0                    0

  RealMeasuredPoints
                 202

     Voltage   Resistance    Reactance      ACLevel    Frequency
3.2160e-03 5.0342e+04 -5.4217e+03 6.9632e-03 1.0000e+05
1.3792e-02 5.1133e+04 -5.8924e+03 6.9622e-03 1.0000e+05
2.3592e-02 5.2135e+04 -5.7762e+03 6.9635e-03 1.0000e+05
3.4008e-02 5.3139e+04 -6.0926e+03 6.9642e-03 1.0000e+05
4.3816e-02 5.3933e+04 -5.8903e+03 6.9642e-03 1.0000e+05
5.3728e-02 5.4772e+04 -6.3991e+03 6.9652e-03 1.0000e+05
6.3464e-02 5.6384e+04 -6.4448e+03 6.9631e-03 1.0000e+05
7.3536e-02 5.7199e+04 -6.9490e+03 6.9626e-03 1.0000e+05
8.3272e-02 5.8224e+04 -7.7760e+03 6.9651e-03 1.0000e+05
9.3352e-02 5.9048e+04 -7.6829e+03 6.9635e-03 1.0000e+05
1.0340e-01 6.0138e+04 -7.6184e+03 6.9652e-03 1.0000e+05
1.1323e-01 6.1364e+04 -7.6640e+03 6.9638e-03 1.0000e+05
1.2312e-01 6.2549e+04 -7.8779e+03 6.9644e-03 1.0000e+05
1.3322e-01 6.4152e+04 -8.5359e+03 6.9634e-03 1.0000e+05
1.4322e-01 6.5095e+04 -8.8219e+03 6.9650e-03 1.0000e+05
1.5294e-01 6.5999e+04 -8.9007e+03 6.9649e-03 1.0000e+05
1.6312e-01 6.7144e+04 -9.0217e+03 6.9642e-03 1.0000e+05
1.7299e-01 6.8477e+04 -9.4261e+03 6.9649e-03 1.0000e+05
1.8302e-01 7.0579e+04 -9.4814e+03 6.9639e-03 1.0000e+05
1.9294e-01 7.1928e+04 -1.0350e+04 6.9662e-03 1.0000e+05
2.0306e-01 7.2351e+04 -1.1089e+04 6.9654e-03 1.0000e+05
2.1260e-01 7.3084e+04 -1.0531e+04 6.9657e-03 1.0000e+05
2.2321e-01 7.5477e+04 -1.1018e+04 6.9658e-03 1.0000e+05
