  Measurement Number     Measurement type
                   3           CVSweepNew

      Measurement ID             SeriesID
       739662.653595                    0

         MeasureMode                Start                 Stop
                   1                    0                    1

                Step           Sweep mode            Frequency
                0.01                    3          10000000000

            AC level                Abort          After abort
                0.01                    0                    1

           Hold time           Delay time      Stop delay time
                   0                    0                    0

  RealMeasuredPoints
                 202

     Voltage   Resistance    Reactance      ACLevel    Frequency
4.3360e-03 5.0800e+04 -5.7171e+03 6.9640e-03 1.0000e+10
1.4440e-02 5.1829e+04 -5.9590e+03 6.9656e-03 1.0000e+10
2.4072e-02 5.2501e+04 -5.9890e+03 6.9641e-03 1.0000e+10
3.4432e-02 5.3618e+04 -6.2959e+03 6.9645e-03 1.0000e+10
4.4264e-02 5.4584e+04 -6.5440e+03 6.9647e-03 1.0000e+10
5.4280e-02 5.5533e+04 -6.6908e+03 6.9663e-03 1.0000e+10
6.3968e-02 5.6395e+04 -6.5261e+03 6.9649e-03 1.0000e+10
7.4096e-02 5.7961e+04 -7.0285e+03 6.9645e-03 1.0000e+10
8.3848e-02 5.8694e+04 -7.5130e+03 6.9658e-03 1.0000e+10
9.3704e-02 5.9766e+04 -7.3404e+03 6.9636e-03 1.0000e+10
1.0389e-01 6.0929e+04 -7.6622e+03 6.9659e-03 1.0000e+10
1.1363e-01 6.2622e+04 -7.6988e+03 6.9656e-03 1.0000e+10
1.2362e-01 6.2958e+04 -8.3765e+03 6.9652e-03 1.0000e+10
1.3381e-01 6.4704e+04 -8.8944e+03 6.9659e-03 1.0000e+10
1.4373e-01 6.4999e+04 -8.6280e+03 6.9656e-03 1.0000e+10
1.5340e-01 6.6976e+04 -8.4162e+03 6.9672e-03 1.0000e+10
1.6368e-01 6.8010e+04 -9.1237e+03 6.9660e-03 1.0000e+10
1.7350e-01 6.9429e+04 -9.4095e+03 6.9667e-03 1.0000e+10
1.8350e-01 7.0906e+04 -8.7648e+03 6.9648e-03 1.0000e+10
1.9332e-01 7.2427e+04 -9.5021e+03 6.9657e-03 1.0000e+10
2.0372e-01 7.3306e+04 -1.0100e+04 6.9678e-03 1.0000e+10
2.1344e-01 7.5251e+04 -1.0218e+04 6.9674e-03 1.0000e+10
2.2354e-01 7.6786e+04 -1.1519e+04 6.9670e-03 1.0000e+10
