  Measurement Number     Measurement type
                   5           CVSweepNew

      Measurement ID             SeriesID
       739662.655208                    0

         MeasureMode                Start                 Stop
                   1                    0                    1

                Step           Sweep mode            Frequency
                0.01                    3                 1000

            AC level                Abort          After abort
                0.01                    0                    1

           Hold time           Delay time      Stop delay time
                   0                    0                    0

  RealMeasuredPoints
                 202

     Voltage   Resistance    Reactance      ACLevel    Frequency
4.7280e-03 5.2047e+04 -7.0212e+01 6.9848e-03 1.0000e+03
1.4656e-02 5.2994e+04 -1.1661e+02 6.9837e-03 1.0000e+03
2.4440e-02 5.4084e+04 -5.0766e+01 6.9837e-03 1.0000e+03
3.4648e-02 5.5095e+04 -1.0419e+02 6.9844e-03 1.0000e+03
4.4480e-02 5.6133e+04 -4.9537e+01 6.9835e-03 1.0000e+03
5.4392e-02 5.7231e+04 -1.0438e+02 6.9839e-03 1.0000e+03
6.4224e-02 5.8386e+04 -1.2429e+02 6.9835e-03 1.0000e+03
7.4128e-02 5.9416e+04 -1.9501e+02 6.9846e-03 1.0000e+03
8.4064e-02 6.0624e+04 -9.4037e+01 6.9839e-03 1.0000e+03
9.3976e-02 6.1779e+04 -1.4484e+02 6.9845e-03 1.0000e+03
1.0398e-01 6.3017e+04 -1.1585e+02 6.9849e-03 1.0000e+03
1.1375e-01 6.4250e+04 -1.4067e+02 6.9857e-03 1.0000e+03
1.2377e-01 6.5449e+04 -9.3343e+01 6.9846e-03 1.0000e+03
1.3392e-01 6.6808e+04 -6.2104e+01 6.9842e-03 1.0000e+03
1.4368e-01 6.8066e+04 -6.3894e+01 6.9855e-03 1.0000e+03
1.5372e-01 6.9408e+04 -7.6945e+01 6.9865e-03 1.0000e+03
1.6374e-01 7.0696e+04 -1.8968e+02 6.9847e-03 1.0000e+03
1.7368e-01 7.2154e+04 -2.4325e+02 6.9857e-03 1.0000e+03
1.8347e-01 7.3391e+04 -1.6554e+02 6.9858e-03 1.0000e+03
1.9375e-01 7.4964e+04 -1.0427e+02 6.9860e-03 1.0000e+03
2.0367e-01 7.6364e+04 -9.2235e+01 6.9853e-03 1.0000e+03
2.1362e-01 7.7819e+04 -1.5259e+02 6.9856e-03 1.0000e+03
2.2362e-01 7.9281e+04 -1.8571e+02 6.9854e-03 1.0000e+03
