  Measurement Number     Measurement type
                   1                DC IV

      Measurement ID             SeriesID
       739662.661629                    0

         MeasureMode                Bias1                Bias2
                   2                   -1                    1

                Step  Positive compliance  Negative compliance
                0.01                  0.1                  0.1

  RealMeasuredPoints
                 404

        Bias        Current     Resistance
0.0000e+00   1.0021e-06   0.0000e+00
-1.0000e-02   3.4896e-07   -2.8657e+04
-2.0000e-02   -4.4016e-07   4.5438e+04
-3.0000e-02   -1.3990e-06   2.1444e+04
-4.0000e-02   -2.5657e-06   1.5590e+04
-5.0000e-02   -3.9659e-06   1.2608e+04
-6.0000e-02   -5.6670e-06   1.0588e+04
-7.0000e-02   -7.6959e-06   9.0958e+03
-8.0000e-02   -1.0103e-05   7.9186e+03
-9.0000e-02   -1.2910e-05   6.9716e+03
-1.0000e-01   -1.6140e-05   6.1959e+03
-1.1000e-01   -1.9863e-05   5.5378e+03
-1.2000e-01   -2.4056e-05   4.9885e+03
-1.3000e-01   -2.8750e-05   4.5218e+03
-1.4000e-01   -3.3936e-05   4.1254e+03
-1.5000e-01   -3.9617e-05   3.7862e+03
-1.6000e-01   -4.5731e-05   3.4988e+03
-1.7000e-01   -5.2369e-05   3.2462e+03
-1.8000e-01   -5.9465e-05   3.0270e+03
-1.9000e-01   -6.6992e-05   2.8362e+03
-2.0000e-01   -7.4946e-05   2.6686e+03
-2.1000e-01   -8.3237e-05   2.5229e+03
-2.2000e-01   -9.1971e-05   2.3921e+03
-2.3000e-01   -1.0109e-04   2.2752e+03
-2.4000e-01   -1.1054e-04   2.1713e+03
-2.5000e-01   -1.2039e-04   2.0766e+03
-2.6000e-01   -1.3040e-04   1.9939e+03
-2.7000e-01   -1.4079e-04   1.9178e+03
-2.8000e-01   -1.5145e-04   1.8487e+03
-2.9000e-01   -1.6238e-04   1.7859e+03
-3.0000e-01   -1.7356e-04   1.7285e+03
-3.1000e-01   -1.8489e-04   1.6767e+03
-3.2000e-01   -1.9654e-04   1.6281e+03
-3.3000e-01   -2.0840e-04   1.5835e+03
-3.4000e-01   -2.2046e-04   1.5422e+03
-3.5000e-01   -2.3271e-04   1.5040e+03
-3.6000e-01   -2.4507e-04   1.4689e+03
-3.7000e-01   -2.5769e-04   1.4359e+03
-3.8000e-01   -2.7047e-04   1.4050e+03
-3.9000e-01   -2.8341e-04   1.3761e+03
-4.0000e-01   -2.9641e-04   1.3495e+03
-4.1000e-01   -3.0966e-04   1.3241e+03
-4.2000e-01   -3.2303e-04   1.3002e+03
-4.3000e-01   -3.3654e-04   1.2777e+03
-4.4000e-01   -3.5008e-04   1.2568e+03
-4.5000e-01   -3.6383e-04   1.2368e+03
-4.6000e-01   -3.7770e-04   1.2179e+03
-4.7000e-01   -3.9167e-04   1.2000e+03
-4.8000e-01   -4.0567e-04   1.1832e+03
-4.9000e-01   -4.1988e-04   1.1670e+03
-5.0000e-01   -4.3418e-04   1.1516e+03
-5.1000e-01   -4.4859e-04   1.1369e+03
-5.2000e-01   -4.6295e-04   1.1232e+03
-5.3000e-01   -4.7754e-04   1.1098e+03
-5.4000e-01   -4.9220e-04   1.0971e+03
-5.5000e-01   -5.0697e-04   1.0849e+03
-5.6000e-01   -5.2178e-04   1.0732e+03
-5.7000e-01   -5.3659e-04   1.0623e+03
-5.8000e-01   -5.5156e-04   1.0516e+03
-5.9000e-01   -5.6661e-04   1.0413e+03
-6.0000e-01   -5.8173e-04   1.0314e+03
-6.1000e-01   -5.9681e-04   1.0221e+03
-6.2000e-01   -6.1206e-04   1.0130e+03
-6.3000e-01   -6.2738e-04   1.0042e+03
-6.4000e-01   -6.4275e-04   9.9572e+02
-6.5000e-01   -6.5820e-04   9.8755e+02
-6.6000e-01   -6.7355e-04   9.7988e+02
-6.7000e-01   -6.8911e-04   9.7227e+02
-6.8000e-01   -7.0470e-04   9.6495e+02
-6.9000e-01   -7.2036e-04   9.5785e+02
-7.0000e-01   -7.3607e-04   9.5099e+02
-7.1000e-01   -7.5183e-04   9.4436e+02
-7.2000e-01   -7.6764e-04   9.3794e+02
-7.3000e-01   -7.8337e-04   9.3187e+02
-7.4000e-01   -7.9927e-04   9.2585e+02
-7.5000e-01   -8.1521e-04   9.2001e+02
-7.6000e-01   -8.3120e-04   9.1435e+02
-7.7000e-01   -8.4720e-04   9.0888e+02
-7.8000e-01   -8.6328e-04   9.0353e+02
-7.9000e-01   -8.7927e-04   8.9847e+02
-8.0000e-01   -8.9543e-04   8.9343e+02
-8.1000e-01   -9.1161e-04   8.8854e+02
-8.2000e-01   -9.2784e-04   8.8377e+02
-8.3000e-01   -9.4410e-04   8.7915e+02
-8.4000e-01   -9.6042e-04   8.7462e+02
-8.5000e-01   -9.7662e-04   8.7035e+02
-8.6000e-01   -9.9299e-04   8.6607e+02
-8.7000e-01   -1.0094e-03   8.6191e+02
-8.8000e-01   -1.0258e-03   8.5785e+02
