  Measurement Number     Measurement type
                   2           CVSweepNew

      Measurement ID             SeriesID
       739662.663079                    0

         MeasureMode                Start                 Stop
                   1                    0                    1

                Step           Sweep mode            Frequency
                0.01                    3              1000000

            AC level                Abort          After abort
                0.01                    0                    1

           Hold time           Delay time      Stop delay time
                   0                    0                    0

  RealMeasuredPoints
                 202

     Voltage   Resistance    Reactance      ACLevel    Frequency
4.6400e-03 1.5111e+04 -2.0201e+03 6.8992e-03 1.0000e+06
1.4592e-02 1.7546e+04 -3.0506e+03 6.9035e-03 1.0000e+06
2.4552e-02 2.0187e+04 -3.7891e+03 6.9062e-03 1.0000e+06
3.4776e-02 2.2559e+04 -5.5536e+03 6.9079e-03 1.0000e+06
4.4896e-02 2.4799e+04 -6.6270e+03 6.9090e-03 1.0000e+06
5.4488e-02 2.6455e+04 -8.1097e+03 6.9115e-03 1.0000e+06
6.4464e-02 2.8219e+04 -9.0516e+03 6.9108e-03 1.0000e+06
7.4384e-02 2.9792e+04 -8.7796e+03 6.9104e-03 1.0000e+06
8.4344e-02 3.0175e+04 -9.9028e+03 6.9116e-03 1.0000e+06
9.4312e-02 3.0955e+04 -1.1677e+04 6.9124e-03 1.0000e+06
1.0420e-01 3.1158e+04 -1.1253e+04 6.9123e-03 1.0000e+06
1.1382e-01 3.1807e+04 -1.1561e+04 6.9118e-03 1.0000e+06
1.2379e-01 3.0942e+04 -1.1452e+04 6.9129e-03 1.0000e+06
1.3433e-01 3.2480e+04 -1.1857e+04 6.9113e-03 1.0000e+06
1.4409e-01 3.1727e+04 -1.1184e+04 6.9120e-03 1.0000e+06
1.5394e-01 3.1965e+04 -1.1991e+04 6.9127e-03 1.0000e+06
1.6375e-01 3.2425e+04 -1.1626e+04 6.9128e-03 1.0000e+06
1.7406e-01 3.2964e+04 -1.1315e+04 6.9126e-03 1.0000e+06
1.8402e-01 3.1662e+04 -1.2129e+04 6.9123e-03 1.0000e+06
1.9402e-01 3.2116e+04 -1.0989e+04 6.9119e-03 1.0000e+06
2.0384e-01 3.1872e+04 -1.0107e+04 6.9125e-03 1.0000e+06
2.1357e-01 3.2752e+04 -1.1067e+04 6.9141e-03 1.0000e+06
2.2389e-01 3.2009e+04 -1.1070e+04 6.9119e-03 1.0000e+06
