  Measurement Number     Measurement type
                   3           CVSweepNew

      Measurement ID             SeriesID
       739662.664199                    0

         MeasureMode                Start                 Stop
                   1                    0                    1

                Step           Sweep mode            Frequency
                0.01                    3               100000

            AC level                Abort          After abort
                0.01                    0                    1

           Hold time           Delay time      Stop delay time
                   0                    0                    0

  RealMeasuredPoints
                 202

     Voltage   Resistance    Reactance      ACLevel    Frequency
4.4160e-03 1.6886e+04 -3.3546e+02 6.9451e-03 1.0000e+05
1.5120e-02 2.0024e+04 -4.8400e+02 6.9486e-03 1.0000e+05
2.4472e-02 2.3462e+04 -6.0620e+02 6.9526e-03 1.0000e+05
3.4808e-02 2.6894e+04 -9.3719e+02 6.9550e-03 1.0000e+05
4.4696e-02 3.0256e+04 -1.0234e+03 6.9540e-03 1.0000e+05
5.4592e-02 3.3353e+04 -1.3963e+03 6.9555e-03 1.0000e+05
6.4400e-02 3.5937e+04 -1.5394e+03 6.9565e-03 1.0000e+05
7.4520e-02 3.7801e+04 -1.7248e+03 6.9573e-03 1.0000e+05
8.3896e-02 3.9573e+04 -1.9983e+03 6.9582e-03 1.0000e+05
9.4384e-02 4.0517e+04 -1.9669e+03 6.9582e-03 1.0000e+05
1.0399e-01 4.1337e+04 -2.2248e+03 6.9588e-03 1.0000e+05
1.1422e-01 4.1952e+04 -2.0975e+03 6.9577e-03 1.0000e+05
1.2394e-01 4.1962e+04 -2.1541e+03 6.9584e-03 1.0000e+05
1.3410e-01 4.2184e+04 -2.4428e+03 6.9579e-03 1.0000e+05
1.4399e-01 4.2149e+04 -2.1918e+03 6.9587e-03 1.0000e+05
1.5414e-01 4.1849e+04 -2.1171e+03 6.9591e-03 1.0000e+05
1.6379e-01 4.1960e+04 -2.1422e+03 6.9574e-03 1.0000e+05
1.7374e-01 4.1475e+04 -2.0423e+03 6.9577e-03 1.0000e+05
1.8364e-01 4.1230e+04 -2.1035e+03 6.9572e-03 1.0000e+05
1.9404e-01 4.1013e+04 -1.8537e+03 6.9570e-03 1.0000e+05
2.0375e-01 4.0945e+04 -2.1163e+03 6.9573e-03 1.0000e+05
2.1362e-01 4.0412e+04 -1.9245e+03 6.9585e-03 1.0000e+05
2.2398e-01 4.0346e+04 -1.7801e+03 6.9568e-03 1.0000e+05
