  Measurement Number     Measurement type
                   4           CVSweepNew

      Measurement ID             SeriesID
       739662.665387                    0

         MeasureMode                Start                 Stop
                   1                    0                    1

                Step           Sweep mode            Frequency
                0.01                    3                 1000

            AC level                Abort          After abort
                0.01                    0                    1

           Hold time           Delay time      Stop delay time
                   0                    0                    0

  RealMeasuredPoints
                 202

     Voltage   Resistance    Reactance      ACLevel    Frequency
5.1360e-03 1.6803e+04 -3.6257e+01 6.9701e-03 1.0000e+03
1.5008e-02 1.9924e+04 -3.2612e+01 6.9717e-03 1.0000e+03
2.4856e-02 2.3245e+04 -3.8683e+01 6.9747e-03 1.0000e+03
3.4856e-02 2.6679e+04 -4.6075e+01 6.9771e-03 1.0000e+03
4.4848e-02 2.9957e+04 -5.4100e+01 6.9782e-03 1.0000e+03
5.4728e-02 3.2893e+04 -7.3415e+01 6.9790e-03 1.0000e+03
6.4600e-02 3.5454e+04 -5.1807e+01 6.9801e-03 1.0000e+03
7.4440e-02 3.7510e+04 -7.0958e+01 6.9813e-03 1.0000e+03
8.4344e-02 3.9116e+04 -9.7538e+01 6.9816e-03 1.0000e+03
9.4288e-02 4.0274e+04 -7.8476e+01 6.9821e-03 1.0000e+03
1.0432e-01 4.1020e+04 -7.8422e+01 6.9816e-03 1.0000e+03
1.1426e-01 4.1515e+04 -9.2529e+01 6.9811e-03 1.0000e+03
1.2408e-01 4.1781e+04 -8.9108e+01 6.9819e-03 1.0000e+03
1.3418e-01 4.1882e+04 -7.8057e+01 6.9811e-03 1.0000e+03
1.4403e-01 4.1847e+04 -8.2953e+01 6.9816e-03 1.0000e+03
1.5394e-01 4.1732e+04 -1.0095e+02 6.9815e-03 1.0000e+03
1.6399e-01 4.1584e+04 -1.2447e+02 6.9808e-03 1.0000e+03
1.7396e-01 4.1357e+04 -5.8890e+01 6.9820e-03 1.0000e+03
1.8373e-01 4.1130e+04 -6.5645e+01 6.9816e-03 1.0000e+03
1.9397e-01 4.0860e+04 -7.9530e+01 6.9812e-03 1.0000e+03
2.0390e-01 4.0650e+04 -8.2785e+01 6.9796e-03 1.0000e+03
2.1377e-01 4.0403e+04 -7.1353e+01 6.9818e-03 1.0000e+03
2.2378e-01 4.0168e+04 -7.9796e+01 6.9814e-03 1.0000e+03
