  Measurement Number     Measurement type
                   1                DC IV

      Measurement ID             SeriesID
       739662.656032                    0

         MeasureMode                Bias1                Bias2
                   2                   -1                    1

                Step  Positive compliance  Negative compliance
                0.02                  0.1                  0.1

  RealMeasuredPoints
                 204

        Bias        Current     Resistance
0.0000e+00   1.9823e-06   0.0000e+00
-2.0000e-02   2.4662e-07   -8.1098e+04
-4.0000e-02   -2.0963e-06   1.9081e+04
-6.0000e-02   -5.3039e-06   1.1312e+04
-8.0000e-02   -9.6649e-06   8.2773e+03
-1.0000e-01   -1.5373e-05   6.5050e+03
-1.2000e-01   -2.2660e-05   5.2957e+03
-1.4000e-01   -3.1538e-05   4.4391e+03
-1.6000e-01   -4.1921e-05   3.8167e+03
-1.8000e-01   -5.3870e-05   3.3414e+03
-2.0000e-01   -6.7229e-05   2.9749e+03
-2.2000e-01   -8.1888e-05   2.6866e+03
-2.4000e-01   -9.7871e-05   2.4522e+03
-2.6000e-01   -1.1496e-04   2.2618e+03
-2.8000e-01   -1.3330e-04   2.1005e+03
-3.0000e-01   -1.5262e-04   1.9656e+03
-3.2000e-01   -1.7282e-04   1.8516e+03
-3.4000e-01   -1.9398e-04   1.7527e+03
-3.6000e-01   -2.1581e-04   1.6682e+03
-3.8000e-01   -2.3847e-04   1.5935e+03
-4.0000e-01   -2.6169e-04   1.5285e+03
-4.2000e-01   -2.8560e-04   1.4706e+03
-4.4000e-01   -3.0998e-04   1.4195e+03
-4.6000e-01   -3.3494e-04   1.3734e+03
-4.8000e-01   -3.6029e-04   1.3323e+03
-5.0000e-01   -3.8617e-04   1.2948e+03
-5.2000e-01   -4.1238e-04   1.2610e+03
-5.4000e-01   -4.3907e-04   1.2299e+03
-5.6000e-01   -4.6614e-04   1.2014e+03
-5.8000e-01   -4.9345e-04   1.1754e+03
-6.0000e-01   -5.2119e-04   1.1512e+03
-6.2000e-01   -5.4912e-04   1.1291e+03
-6.4000e-01   -5.7747e-04   1.1083e+03
-6.6000e-01   -6.0600e-04   1.0891e+03
-6.8000e-01   -6.3489e-04   1.0710e+03
-7.0000e-01   -6.6405e-04   1.0541e+03
-7.2000e-01   -6.9345e-04   1.0383e+03
-7.4000e-01   -7.2295e-04   1.0236e+03
-7.6000e-01   -7.5279e-04   1.0096e+03
-7.8000e-01   -7.8282e-04   9.9639e+02
-8.0000e-01   -8.1296e-04   9.8405e+02
-8.2000e-01   -8.4343e-04   9.7222e+02
-8.4000e-01   -8.7405e-04   9.6104e+02
-8.6000e-01   -9.0473e-04   9.5056e+02
-8.8000e-01   -9.3570e-04   9.4047e+02
-9.0000e-01   -9.6683e-04   9.3087e+02
-9.2000e-01   -9.9797e-04   9.2187e+02
-9.4000e-01   -1.0294e-03   9.1315e+02
-9.6000e-01   -1.0608e-03   9.0495e+02
-9.8000e-01   -1.0925e-03   8.9701e+02
-1.0000e+00   -1.1243e-03   8.8941e+02
-1.0000e+00   -1.1242e-03   8.8949e+02
-9.8000e-01   -1.0923e-03   8.9720e+02
-9.6000e-01   -1.0605e-03   9.0524e+02
-9.4000e-01   -1.0290e-03   9.1354e+02
-9.2000e-01   -9.9747e-04   9.2234e+02
-9.0000e-01   -9.6622e-04   9.3147e+02
-8.8000e-01   -9.3504e-04   9.4113e+02
-8.6000e-01   -9.0400e-04   9.5133e+02
-8.4000e-01   -8.7324e-04   9.6193e+02
-8.2000e-01   -8.4255e-04   9.7323e+02
-8.0000e-01   -8.1203e-04   9.8518e+02
-7.8000e-01   -7.8182e-04   9.9767e+02
-7.6000e-01   -7.5171e-04   1.0110e+03
-7.4000e-01   -7.2180e-04   1.0252e+03
-7.2000e-01   -6.9223e-04   1.0401e+03
-7.0000e-01   -6.6275e-04   1.0562e+03
-6.8000e-01   -6.3352e-04   1.0734e+03
-6.6000e-01   -6.0453e-04   1.0918e+03
-6.4000e-01   -5.7593e-04   1.1112e+03
-6.2000e-01   -5.4750e-04   1.1324e+03
-6.0000e-01   -5.1946e-04   1.1551e+03
-5.8000e-01   -4.9163e-04   1.1797e+03
-5.6000e-01   -4.6424e-04   1.2063e+03
-5.4000e-01   -4.3706e-04   1.2355e+03
-5.2000e-01   -4.1030e-04   1.2674e+03
-5.0000e-01   -3.8399e-04   1.3021e+03
-4.8000e-01   -3.5804e-04   1.3406e+03
-4.6000e-01   -3.3262e-04   1.3830e+03
-4.4000e-01   -3.0759e-04   1.4305e+03
-4.2000e-01   -2.8317e-04   1.4832e+03
-4.0000e-01   -2.5925e-04   1.5429e+03
-3.8000e-01   -2.3605e-04   1.6098e+03
-3.6000e-01   -2.1345e-04   1.6866e+03
-3.4000e-01   -1.9168e-04   1.7738e+03
-3.2000e-01   -1.7065e-04   1.8752e+03
-3.0000e-01   -1.5059e-04   1.9922e+03
-2.8000e-01   -1.3145e-04   2.1301e+03
-2.6000e-01   -1.1336e-04   2.2936e+03
