  Measurement Number     Measurement type
                   3           CVSweepNew

      Measurement ID             SeriesID
       739662.658071                    0

         MeasureMode                Start                 Stop
                   1                    0                    1

                Step           Sweep mode            Frequency
                0.01                    3                 1000

            AC level                Abort          After abort
                0.01                    0                    1

           Hold time           Delay time      Stop delay time
                   0                    0                    0

  RealMeasuredPoints
                 202

     Voltage   Resistance    Reactance      ACLevel    Frequency
4.4640e-03 1.3199e+04 -1.5921e+01 6.9643e-03 1.0000e+03
1.4344e-02 1.4870e+04 -2.3689e+01 6.9666e-03 1.0000e+03
2.4240e-02 1.6439e+04 -3.6765e+01 6.9679e-03 1.0000e+03
3.4256e-02 1.7918e+04 -4.7746e+01 6.9709e-03 1.0000e+03
4.4208e-02 1.9255e+04 -6.1038e+01 6.9720e-03 1.0000e+03
5.4192e-02 2.0382e+04 -7.3372e+01 6.9727e-03 1.0000e+03
6.3904e-02 2.1305e+04 -8.5717e+01 6.9733e-03 1.0000e+03
7.3832e-02 2.2061e+04 -9.8956e+01 6.9750e-03 1.0000e+03
8.3696e-02 2.2652e+04 -1.0735e+02 6.9744e-03 1.0000e+03
9.3616e-02 2.3125e+04 -1.1548e+02 6.9757e-03 1.0000e+03
1.0367e-01 2.3515e+04 -1.1568e+02 6.9748e-03 1.0000e+03
1.1353e-01 2.3823e+04 -1.2480e+02 6.9749e-03 1.0000e+03
1.2338e-01 2.4068e+04 -1.4123e+02 6.9752e-03 1.0000e+03
1.3361e-01 2.4284e+04 -1.5955e+02 6.9753e-03 1.0000e+03
1.4342e-01 2.4476e+04 -1.5602e+02 6.9764e-03 1.0000e+03
1.5332e-01 2.4648e+04 -1.5551e+02 6.9756e-03 1.0000e+03
1.6332e-01 2.4831e+04 -1.6128e+02 6.9759e-03 1.0000e+03
1.7322e-01 2.5000e+04 -1.4810e+02 6.9766e-03 1.0000e+03
1.8300e-01 2.5137e+04 -1.6523e+02 6.9764e-03 1.0000e+03
1.9323e-01 2.5306e+04 -1.5958e+02 6.9756e-03 1.0000e+03
2.0319e-01 2.5492e+04 -1.7406e+02 6.9763e-03 1.0000e+03
2.1308e-01 2.5653e+04 -1.8115e+02 6.9769e-03 1.0000e+03
2.2306e-01 2.5820e+04 -1.6776e+02 6.9767e-03 1.0000e+03
