  Measurement Number     Measurement type
                   4           CVSweepNew

      Measurement ID             SeriesID
       739662.659158                    0

         MeasureMode                Start                 Stop
                   1                    0                    1

                Step           Sweep mode            Frequency
                0.01                    3               100000

            AC level                Abort          After abort
                0.01                    0                    1

           Hold time           Delay time      Stop delay time
                   0                    0                    0

  RealMeasuredPoints
                 202

     Voltage   Resistance    Reactance      ACLevel    Frequency
4.5200e-03 1.3120e+04 -2.0835e+02 6.9417e-03 1.0000e+05
1.4760e-02 1.4687e+04 -3.7242e+02 6.9459e-03 1.0000e+05
2.4488e-02 1.6171e+04 -4.7250e+02 6.9481e-03 1.0000e+05
3.4560e-02 1.7533e+04 -6.0623e+02 6.9490e-03 1.0000e+05
4.4432e-02 1.8725e+04 -6.9216e+02 6.9505e-03 1.0000e+05
5.4304e-02 1.9723e+04 -8.7942e+02 6.9527e-03 1.0000e+05
6.4328e-02 2.0478e+04 -9.4302e+02 6.9525e-03 1.0000e+05
7.3904e-02 2.1120e+04 -1.1624e+03 6.9527e-03 1.0000e+05
8.4072e-02 2.1587e+04 -1.1236e+03 6.9527e-03 1.0000e+05
9.3752e-02 2.1993e+04 -1.3418e+03 6.9538e-03 1.0000e+05
1.0411e-01 2.2209e+04 -1.3397e+03 6.9534e-03 1.0000e+05
1.1345e-01 2.2513e+04 -1.4330e+03 6.9551e-03 1.0000e+05
1.2370e-01 2.2665e+04 -1.5121e+03 6.9549e-03 1.0000e+05
1.3370e-01 2.2778e+04 -1.5844e+03 6.9538e-03 1.0000e+05
1.4378e-01 2.2935e+04 -1.5774e+03 6.9536e-03 1.0000e+05
1.5347e-01 2.3092e+04 -1.6645e+03 6.9529e-03 1.0000e+05
1.6369e-01 2.3153e+04 -1.6680e+03 6.9551e-03 1.0000e+05
1.7345e-01 2.3342e+04 -1.7248e+03 6.9547e-03 1.0000e+05
1.8344e-01 2.3366e+04 -1.7770e+03 6.9549e-03 1.0000e+05
1.9347e-01 2.3487e+04 -1.8014e+03 6.9553e-03 1.0000e+05
2.0340e-01 2.3688e+04 -1.8275e+03 6.9540e-03 1.0000e+05
2.1337e-01 2.3785e+04 -1.9235e+03 6.9542e-03 1.0000e+05
2.2348e-01 2.3866e+04 -1.8563e+03 6.9555e-03 1.0000e+05
