  Measurement Number     Measurement type
                   6           CVSweepNew

      Measurement ID             SeriesID
       739662.660442                    0

         MeasureMode                Start                 Stop
                   1                    0                    1

                Step           Sweep mode            Frequency
                0.01                    3              1000000

            AC level                Abort          After abort
                0.01                    0                    1

           Hold time           Delay time      Stop delay time
                   0                    0                    0

  RealMeasuredPoints
                 202

     Voltage   Resistance    Reactance      ACLevel    Frequency
5.1520e-03 1.1756e+04 -1.5377e+03 6.8941e-03 1.0000e+06
1.4968e-02 1.2876e+04 -2.0919e+03 6.8967e-03 1.0000e+06
2.4776e-02 1.3988e+04 -2.6718e+03 6.8981e-03 1.0000e+06
3.5016e-02 1.5221e+04 -2.8925e+03 6.9014e-03 1.0000e+06
4.4968e-02 1.5917e+04 -3.5272e+03 6.9009e-03 1.0000e+06
5.4640e-02 1.6281e+04 -3.8419e+03 6.9022e-03 1.0000e+06
6.4456e-02 1.6709e+04 -4.1924e+03 6.9016e-03 1.0000e+06
7.4472e-02 1.6915e+04 -4.3987e+03 6.9030e-03 1.0000e+06
8.4456e-02 1.7124e+04 -4.7143e+03 6.9045e-03 1.0000e+06
9.4456e-02 1.7199e+04 -4.9125e+03 6.9030e-03 1.0000e+06
1.0433e-01 1.6978e+04 -4.8595e+03 6.9047e-03 1.0000e+06
1.1425e-01 1.7488e+04 -5.0976e+03 6.9048e-03 1.0000e+06
1.2382e-01 1.7392e+04 -5.2264e+03 6.9034e-03 1.0000e+06
1.3430e-01 1.7294e+04 -4.9432e+03 6.9040e-03 1.0000e+06
1.4414e-01 1.7276e+04 -5.2140e+03 6.9029e-03 1.0000e+06
1.5406e-01 1.7254e+04 -5.3092e+03 6.9040e-03 1.0000e+06
1.6398e-01 1.7203e+04 -5.1707e+03 6.9025e-03 1.0000e+06
1.7363e-01 1.7340e+04 -5.4042e+03 6.9050e-03 1.0000e+06
1.8384e-01 1.7186e+04 -5.2505e+03 6.9048e-03 1.0000e+06
1.9416e-01 1.7212e+04 -5.3385e+03 6.9044e-03 1.0000e+06
2.0416e-01 1.7280e+04 -5.5096e+03 6.9032e-03 1.0000e+06
2.1366e-01 1.7117e+04 -5.7335e+03 6.9042e-03 1.0000e+06
2.2387e-01 1.7545e+04 -5.6080e+03 6.9047e-03 1.0000e+06
