  Measurement Number     Measurement type
                   1                DC IV

      Measurement ID             SeriesID
       739662.675059                    0

         MeasureMode                Bias1                Bias2
                   2                   -1                    1

                Step  Positive compliance  Negative compliance
                0.01                  0.1                  0.1

  RealMeasuredPoints
                 404

        Bias        Current     Resistance
0.0000e+00   8.6291e-09   0.0000e+00
-1.0000e-02   -1.0356e-05   9.6558e+02
-2.0000e-02   -2.0717e-05   9.6537e+02
-3.0000e-02   -3.1073e-05   9.6547e+02
-4.0000e-02   -4.1431e-05   9.6546e+02
-5.0000e-02   -5.1710e-05   9.6693e+02
-6.0000e-02   -6.2068e-05   9.6668e+02
-7.0000e-02   -7.2425e-05   9.6651e+02
-8.0000e-02   -8.2783e-05   9.6638e+02
-9.0000e-02   -9.3150e-05   9.6618e+02
-1.0000e-01   -1.0343e-04   9.6685e+02
-1.1000e-01   -1.1379e-04   9.6667e+02
-1.2000e-01   -1.2424e-04   9.6590e+02
-1.3000e-01   -1.3461e-04   9.6579e+02
-1.4000e-01   -1.4496e-04   9.6580e+02
-1.5000e-01   -1.5533e-04   9.6571e+02
-1.6000e-01   -1.6559e-04   9.6624e+02
-1.7000e-01   -1.7596e-04   9.6612e+02
-1.8000e-01   -1.8633e-04   9.6605e+02
-1.9000e-01   -1.9669e-04   9.6600e+02
-2.0000e-01   -2.0706e-04   9.6592e+02
-2.1000e-01   -2.1735e-04   9.6620e+02
-2.2000e-01   -2.2771e-04   9.6612e+02
-2.3000e-01   -2.3808e-04   9.6605e+02
-2.4000e-01   -2.4845e-04   9.6598e+02
-2.5000e-01   -2.5883e-04   9.6589e+02
-2.6000e-01   -2.6912e-04   9.6613e+02
-2.7000e-01   -2.7949e-04   9.6605e+02
-2.8000e-01   -2.8986e-04   9.6600e+02
-2.9000e-01   -3.0023e-04   9.6593e+02
-3.0000e-01   -3.1061e-04   9.6585e+02
-3.1000e-01   -3.2090e-04   9.6605e+02
-3.2000e-01   -3.3128e-04   9.6594e+02
-3.3000e-01   -3.4166e-04   9.6588e+02
-3.4000e-01   -3.5204e-04   9.6580e+02
-3.5000e-01   -3.6241e-04   9.6576e+02
-3.6000e-01   -3.7272e-04   9.6587e+02
-3.7000e-01   -3.8310e-04   9.6582e+02
-3.8000e-01   -3.9347e-04   9.6576e+02
-3.9000e-01   -4.0385e-04   9.6571e+02
-4.0000e-01   -4.1415e-04   9.6584e+02
-4.1000e-01   -4.2453e-04   9.6577e+02
-4.2000e-01   -4.3491e-04   9.6571e+02
-4.3000e-01   -4.4529e-04   9.6567e+02
-4.4000e-01   -4.5559e-04   9.6578e+02
-4.5000e-01   -4.6597e-04   9.6573e+02
-4.6000e-01   -4.7634e-04   9.6570e+02
-4.7000e-01   -4.8670e-04   9.6568e+02
-4.8000e-01   -4.9701e-04   9.6578e+02
-4.9000e-01   -5.0738e-04   9.6574e+02
-5.0000e-01   -5.1776e-04   9.6570e+02
-5.1000e-01   -5.2814e-04   9.6566e+02
-5.2000e-01   -5.3844e-04   9.6576e+02
-5.3000e-01   -5.4881e-04   9.6572e+02
-5.4000e-01   -5.5918e-04   9.6570e+02
-5.5000e-01   -5.6957e-04   9.6565e+02
-5.6000e-01   -5.7993e-04   9.6563e+02
-5.7000e-01   -5.9024e-04   9.6572e+02
-5.8000e-01   -6.0060e-04   9.6570e+02
-5.9000e-01   -6.1098e-04   9.6566e+02
-6.0000e-01   -6.2135e-04   9.6565e+02
-6.1000e-01   -6.3164e-04   9.6574e+02
-6.2000e-01   -6.4201e-04   9.6572e+02
-6.3000e-01   -6.5238e-04   9.6570e+02
-6.4000e-01   -6.6274e-04   9.6568e+02
-6.5000e-01   -6.7311e-04   9.6567e+02
-6.6000e-01   -6.8340e-04   9.6577e+02
-6.7000e-01   -6.9376e-04   9.6575e+02
-6.8000e-01   -7.0412e-04   9.6574e+02
-6.9000e-01   -7.1448e-04   9.6574e+02
-7.0000e-01   -7.2484e-04   9.6573e+02
-7.1000e-01   -7.3521e-04   9.6571e+02
-7.2000e-01   -7.4556e-04   9.6571e+02
-7.3000e-01   -7.5585e-04   9.6581e+02
-7.4000e-01   -7.6620e-04   9.6580e+02
-7.5000e-01   -7.7656e-04   9.6580e+02
-7.6000e-01   -7.8692e-04   9.6579e+02
-7.7000e-01   -7.9725e-04   9.6582e+02
-7.8000e-01   -8.0761e-04   9.6582e+02
-7.9000e-01   -8.1788e-04   9.6591e+02
-8.0000e-01   -8.2824e-04   9.6591e+02
-8.1000e-01   -8.3859e-04   9.6591e+02
-8.2000e-01   -8.4894e-04   9.6591e+02
-8.3000e-01   -8.5929e-04   9.6592e+02
-8.4000e-01   -8.6963e-04   9.6592e+02
-8.5000e-01   -8.7990e-04   9.6602e+02
-8.6000e-01   -8.9025e-04   9.6602e+02
-8.7000e-01   -9.0059e-04   9.6604e+02
-8.8000e-01   -9.1094e-04   9.6603e+02
