  Measurement Number     Measurement type
                   2           CVSweepNew

      Measurement ID             SeriesID
       739662.676285                    0

         MeasureMode                Start                 Stop
                   1                    0                    1

                Step           Sweep mode            Frequency
                0.01                    3               100000

            AC level                Abort          After abort
                0.01                    0                    1

           Hold time           Delay time      Stop delay time
                   0                    0                    0

  RealMeasuredPoints
                 202

     Voltage   Resistance    Reactance      ACLevel    Frequency
4.7040e-03 9.7029e+02 4.5194e+01 6.6184e-03 1.0000e+05
1.4208e-02 9.6941e+02 4.8463e+01 6.6193e-03 1.0000e+05
2.4032e-02 9.6901e+02 4.8002e+01 6.6175e-03 1.0000e+05
3.3216e-02 9.6850e+02 4.7093e+01 6.6156e-03 1.0000e+05
4.2888e-02 9.7027e+02 4.6913e+01 6.6179e-03 1.0000e+05
5.2144e-02 9.6913e+02 4.6691e+01 6.6164e-03 1.0000e+05
6.1680e-02 9.6952e+02 4.7249e+01 6.6178e-03 1.0000e+05
7.1152e-02 9.6847e+02 4.7267e+01 6.6184e-03 1.0000e+05
8.0552e-02 9.6967e+02 4.6925e+01 6.6180e-03 1.0000e+05
8.9984e-02 9.6970e+02 4.6308e+01 6.6179e-03 1.0000e+05
9.9336e-02 9.6994e+02 4.7501e+01 6.6178e-03 1.0000e+05
1.0914e-01 9.6887e+02 4.6962e+01 6.6176e-03 1.0000e+05
1.1820e-01 9.6956e+02 4.7003e+01 6.6187e-03 1.0000e+05
1.2806e-01 9.6984e+02 4.6886e+01 6.6177e-03 1.0000e+05
1.3732e-01 9.6949e+02 4.7753e+01 6.6182e-03 1.0000e+05
1.4690e-01 9.6792e+02 4.8003e+01 6.6189e-03 1.0000e+05
1.5618e-01 9.7004e+02 4.7049e+01 6.6192e-03 1.0000e+05
1.6598e-01 9.6925e+02 4.7752e+01 6.6179e-03 1.0000e+05
1.7506e-01 9.6957e+02 4.6836e+01 6.6188e-03 1.0000e+05
1.8512e-01 9.6899e+02 4.6780e+01 6.6177e-03 1.0000e+05
1.9418e-01 9.6918e+02 4.7261e+01 6.6165e-03 1.0000e+05
2.0399e-01 9.6916e+02 4.6677e+01 6.6186e-03 1.0000e+05
2.1323e-01 9.6956e+02 4.6593e+01 6.6170e-03 1.0000e+05
2.2274e-01 9.6991e+02 4.7526e+01 6.6158e-03 1.0000e+05
