  Measurement Number     Measurement type
                   1                DC IV

      Measurement ID             SeriesID
       739662.671741                    0

         MeasureMode                Bias1                Bias2
                   2                   -1                    1

                Step  Positive compliance  Negative compliance
                0.01                  0.1                  0.1

  RealMeasuredPoints
                 404

        Bias        Current     Resistance
0.0000e+00   1.2542e-07   0.0000e+00
-1.0000e-02   -1.2903e-05   7.7499e+02
-2.0000e-02   -2.5928e-05   7.7138e+02
-3.0000e-02   -3.8949e-05   7.7025e+02
-4.0000e-02   -5.1975e-05   7.6960e+02
-5.0000e-02   -6.4900e-05   7.7042e+02
-6.0000e-02   -7.7929e-05   7.6994e+02
-7.0000e-02   -9.0947e-05   7.6968e+02
-8.0000e-02   -1.0397e-04   7.6946e+02
-9.0000e-02   -1.1710e-04   7.6858e+02
-1.0000e-01   -1.3002e-04   7.6911e+02
-1.1000e-01   -1.4305e-04   7.6899e+02
-1.2000e-01   -1.5607e-04   7.6889e+02
-1.3000e-01   -1.6910e-04   7.6878e+02
-1.4000e-01   -1.8212e-04   7.6873e+02
-1.5000e-01   -1.9514e-04   7.6867e+02
-1.6000e-01   -2.0805e-04   7.6905e+02
-1.7000e-01   -2.2108e-04   7.6895e+02
-1.8000e-01   -2.3410e-04   7.6890e+02
-1.9000e-01   -2.4713e-04   7.6884e+02
-2.0000e-01   -2.6015e-04   7.6879e+02
-2.1000e-01   -2.7308e-04   7.6901e+02
-2.2000e-01   -2.8610e-04   7.6895e+02
-2.3000e-01   -2.9913e-04   7.6890e+02
-2.4000e-01   -3.1215e-04   7.6885e+02
-2.5000e-01   -3.2518e-04   7.6880e+02
-2.6000e-01   -3.3811e-04   7.6899e+02
-2.7000e-01   -3.5113e-04   7.6894e+02
-2.8000e-01   -3.6415e-04   7.6891e+02
-2.9000e-01   -3.7718e-04   7.6887e+02
-3.0000e-01   -3.9019e-04   7.6885e+02
-3.1000e-01   -4.0312e-04   7.6901e+02
-3.2000e-01   -4.1615e-04   7.6896e+02
-3.3000e-01   -4.2917e-04   7.6894e+02
-3.4000e-01   -4.4219e-04   7.6890e+02
-3.5000e-01   -4.5521e-04   7.6888e+02
-3.6000e-01   -4.6813e-04   7.6902e+02
-3.7000e-01   -4.8114e-04   7.6900e+02
-3.8000e-01   -4.9416e-04   7.6898e+02
-3.9000e-01   -5.0717e-04   7.6897e+02
-4.0000e-01   -5.2009e-04   7.6910e+02
-4.1000e-01   -5.3310e-04   7.6909e+02
-4.2000e-01   -5.4610e-04   7.6909e+02
-4.3000e-01   -5.5911e-04   7.6909e+02
-4.4000e-01   -5.7202e-04   7.6921e+02
-4.5000e-01   -5.8501e-04   7.6921e+02
-4.6000e-01   -5.9801e-04   7.6922e+02
-4.7000e-01   -6.1100e-04   7.6923e+02
-4.8000e-01   -6.2390e-04   7.6936e+02
-4.9000e-01   -6.3689e-04   7.6936e+02
-5.0000e-01   -6.4988e-04   7.6937e+02
-5.1000e-01   -6.6287e-04   7.6938e+02
-5.2000e-01   -6.7576e-04   7.6951e+02
-5.3000e-01   -6.8875e-04   7.6951e+02
-5.4000e-01   -7.0173e-04   7.6953e+02
-5.5000e-01   -7.1472e-04   7.6953e+02
-5.6000e-01   -7.2769e-04   7.6955e+02
-5.7000e-01   -7.4058e-04   7.6967e+02
-5.8000e-01   -7.5356e-04   7.6969e+02
-5.9000e-01   -7.6652e-04   7.6971e+02
-6.0000e-01   -7.7949e-04   7.6973e+02
-6.1000e-01   -7.9237e-04   7.6985e+02
-6.2000e-01   -8.0533e-04   7.6987e+02
-6.3000e-01   -8.1830e-04   7.6989e+02
-6.4000e-01   -8.3125e-04   7.6992e+02
-6.5000e-01   -8.4421e-04   7.6995e+02
-6.6000e-01   -8.5706e-04   7.7007e+02
-6.7000e-01   -8.7002e-04   7.7010e+02
-6.8000e-01   -8.8296e-04   7.7014e+02
-6.9000e-01   -8.9591e-04   7.7017e+02
-7.0000e-01   -9.0885e-04   7.7021e+02
-7.1000e-01   -9.2180e-04   7.7023e+02
-7.2000e-01   -9.3473e-04   7.7027e+02
-7.3000e-01   -9.4757e-04   7.7039e+02
-7.4000e-01   -9.6051e-04   7.7043e+02
-7.5000e-01   -9.7343e-04   7.7047e+02
-7.6000e-01   -9.8637e-04   7.7050e+02
-7.7000e-01   -9.9927e-04   7.7056e+02
-7.8000e-01   -1.0122e-03   7.7060e+02
-7.9000e-01   -1.0250e-03   7.7071e+02
-8.0000e-01   -1.0380e-03   7.7075e+02
-8.1000e-01   -1.0509e-03   7.7079e+02
-8.2000e-01   -1.0638e-03   7.7083e+02
-8.3000e-01   -1.0767e-03   7.7088e+02
-8.4000e-01   -1.0896e-03   7.7092e+02
-8.5000e-01   -1.1024e-03   7.7103e+02
-8.6000e-01   -1.1153e-03   7.7107e+02
-8.7000e-01   -1.1282e-03   7.7111e+02
-8.8000e-01   -1.1411e-03   7.7116e+02
