  Measurement Number     Measurement type
                   2           CVSweepNew

      Measurement ID             SeriesID
       739662.673107                    0

         MeasureMode                Start                 Stop
                   1                    0                    1

                Step           Sweep mode            Frequency
                0.01                    3               100000

            AC level                Abort          After abort
                0.01                    0                    1

           Hold time           Delay time      Stop delay time
                   0                    0                    0

  RealMeasuredPoints
                 202

     Voltage   Resistance    Reactance      ACLevel    Frequency
4.4560e-03 7.7170e+02 3.0522e+01 6.5348e-03 1.0000e+05
1.4144e-02 7.7081e+02 3.0543e+01 6.5328e-03 1.0000e+05
2.3416e-02 7.7147e+02 3.1467e+01 6.5336e-03 1.0000e+05
3.3008e-02 7.7094e+02 3.1036e+01 6.5338e-03 1.0000e+05
4.2288e-02 7.7167e+02 3.0643e+01 6.5325e-03 1.0000e+05
5.1600e-02 7.7199e+02 3.0833e+01 6.5352e-03 1.0000e+05
6.0792e-02 7.7134e+02 3.0804e+01 6.5337e-03 1.0000e+05
7.0088e-02 7.7152e+02 3.0907e+01 6.5345e-03 1.0000e+05
7.9520e-02 7.7061e+02 3.0899e+01 6.5335e-03 1.0000e+05
8.8704e-02 7.7209e+02 3.0535e+01 6.5344e-03 1.0000e+05
9.8376e-02 7.7174e+02 3.1309e+01 6.5336e-03 1.0000e+05
1.0742e-01 7.7064e+02 3.0872e+01 6.5341e-03 1.0000e+05
1.1704e-01 7.7127e+02 3.0855e+01 6.5341e-03 1.0000e+05
1.2626e-01 7.7093e+02 3.1490e+01 6.5338e-03 1.0000e+05
1.3562e-01 7.7128e+02 3.1069e+01 6.5329e-03 1.0000e+05
1.4471e-01 7.7079e+02 3.0569e+01 6.5339e-03 1.0000e+05
1.5439e-01 7.7114e+02 3.0659e+01 6.5327e-03 1.0000e+05
1.6370e-01 7.7205e+02 3.1362e+01 6.5338e-03 1.0000e+05
1.7293e-01 7.7140e+02 3.1437e+01 6.5344e-03 1.0000e+05
1.8226e-01 7.7101e+02 3.1467e+01 6.5334e-03 1.0000e+05
1.9194e-01 7.7136e+02 3.1655e+01 6.5327e-03 1.0000e+05
2.0117e-01 7.7137e+02 3.1248e+01 6.5325e-03 1.0000e+05
2.1058e-01 7.7163e+02 3.0955e+01 6.5350e-03 1.0000e+05
2.1981e-01 7.7129e+02 3.0981e+01 6.5340e-03 1.0000e+05
