  Measurement Number     Measurement type
                   1                DC IV

      Measurement ID             SeriesID
       739662.667572                    0

         MeasureMode                Bias1                Bias2
                   2                   -1                    1

                Step  Positive compliance  Negative compliance
                0.01                  0.1                  0.1

  RealMeasuredPoints
                 404

        Bias        Current     Resistance
0.0000e+00   -8.4716e-07   -0.0000e+00
-1.0000e-02   -1.4035e-06   7.1248e+03
-2.0000e-02   -1.8756e-06   1.0663e+04
-3.0000e-02   -2.2832e-06   1.3140e+04
-4.0000e-02   -2.6418e-06   1.5141e+04
-5.0000e-02   -2.9611e-06   1.6885e+04
-6.0000e-02   -3.2564e-06   1.8425e+04
-7.0000e-02   -3.5317e-06   1.9820e+04
-8.0000e-02   -3.7935e-06   2.1089e+04
-9.0000e-02   -4.0458e-06   2.2245e+04
-1.0000e-01   -4.2893e-06   2.3314e+04
-1.1000e-01   -4.5309e-06   2.4278e+04
-1.2000e-01   -4.7700e-06   2.5157e+04
-1.3000e-01   -5.0079e-06   2.5959e+04
-1.4000e-01   -5.2462e-06   2.6686e+04
-1.5000e-01   -5.4852e-06   2.7346e+04
-1.6000e-01   -5.7229e-06   2.7958e+04
-1.7000e-01   -5.9645e-06   2.8502e+04
-1.8000e-01   -6.2068e-06   2.9000e+04
-1.9000e-01   -6.4509e-06   2.9453e+04
-2.0000e-01   -6.6963e-06   2.9867e+04
-2.1000e-01   -6.9424e-06   3.0249e+04
-2.2000e-01   -7.1914e-06   3.0592e+04
-2.3000e-01   -7.4425e-06   3.0904e+04
-2.4000e-01   -7.6954e-06   3.1187e+04
-2.5000e-01   -7.9498e-06   3.1447e+04
-2.6000e-01   -8.2042e-06   3.1691e+04
-2.7000e-01   -8.4618e-06   3.1908e+04
-2.8000e-01   -8.7217e-06   3.2104e+04
-2.9000e-01   -8.9823e-06   3.2286e+04
-3.0000e-01   -9.2449e-06   3.2450e+04
-3.1000e-01   -9.5081e-06   3.2604e+04
-3.2000e-01   -9.7744e-06   3.2738e+04
-3.3000e-01   -1.0041e-05   3.2864e+04
-3.4000e-01   -1.0311e-05   3.2974e+04
-3.5000e-01   -1.0581e-05   3.3077e+04
-3.6000e-01   -1.0852e-05   3.3174e+04
-3.7000e-01   -1.1124e-05   3.3260e+04
-3.8000e-01   -1.1400e-05   3.3334e+04
-3.9000e-01   -1.1676e-05   3.3402e+04
-4.0000e-01   -1.1951e-05   3.3470e+04
-4.1000e-01   -1.2230e-05   3.3523e+04
-4.2000e-01   -1.2510e-05   3.3573e+04
-4.3000e-01   -1.2793e-05   3.3613e+04
-4.4000e-01   -1.3074e-05   3.3654e+04
-4.5000e-01   -1.3359e-05   3.3685e+04
-4.6000e-01   -1.3644e-05   3.3714e+04
-4.7000e-01   -1.3930e-05   3.3739e+04
-4.8000e-01   -1.4216e-05   3.3764e+04
-4.9000e-01   -1.4506e-05   3.3779e+04
-5.0000e-01   -1.4798e-05   3.3789e+04
-5.1000e-01   -1.5090e-05   3.3797e+04
-5.2000e-01   -1.5382e-05   3.3805e+04
-5.3000e-01   -1.5677e-05   3.3807e+04
-5.4000e-01   -1.5974e-05   3.3805e+04
-5.5000e-01   -1.6272e-05   3.3801e+04
-5.6000e-01   -1.6569e-05   3.3798e+04
-5.7000e-01   -1.6868e-05   3.3793e+04
-5.8000e-01   -1.7168e-05   3.3785e+04
-5.9000e-01   -1.7470e-05   3.3773e+04
-6.0000e-01   -1.7773e-05   3.3760e+04
-6.1000e-01   -1.8075e-05   3.3748e+04
-6.2000e-01   -1.8379e-05   3.3734e+04
-6.3000e-01   -1.8686e-05   3.3714e+04
-6.4000e-01   -1.8994e-05   3.3695e+04
-6.5000e-01   -1.9303e-05   3.3674e+04
-6.6000e-01   -1.9611e-05   3.3655e+04
-6.7000e-01   -1.9922e-05   3.3631e+04
-6.8000e-01   -2.0234e-05   3.3606e+04
-6.9000e-01   -2.0548e-05   3.3581e+04
-7.0000e-01   -2.0863e-05   3.3552e+04
-7.1000e-01   -2.1178e-05   3.3526e+04
-7.2000e-01   -2.1494e-05   3.3498e+04
-7.3000e-01   -2.1808e-05   3.3474e+04
-7.4000e-01   -2.2127e-05   3.3443e+04
-7.5000e-01   -2.2448e-05   3.3411e+04
-7.6000e-01   -2.2768e-05   3.3380e+04
-7.7000e-01   -2.3089e-05   3.3350e+04
-7.8000e-01   -2.3412e-05   3.3317e+04
-7.9000e-01   -2.3733e-05   3.3288e+04
-8.0000e-01   -2.4058e-05   3.3253e+04
-8.1000e-01   -2.4382e-05   3.3221e+04
-8.2000e-01   -2.4709e-05   3.3187e+04
-8.3000e-01   -2.5035e-05   3.3153e+04
-8.4000e-01   -2.5364e-05   3.3118e+04
-8.5000e-01   -2.5690e-05   3.3087e+04
-8.6000e-01   -2.6020e-05   3.3052e+04
-8.7000e-01   -2.6352e-05   3.3015e+04
-8.8000e-01   -2.6683e-05   3.2980e+04
