  Measurement Number     Measurement type
                   2           CVSweepNew

      Measurement ID             SeriesID
       739662.669054                    0

         MeasureMode                Start                 Stop
                   1                    0                    1

                Step           Sweep mode            Frequency
                0.01                    3                 1000

            AC level                Abort          After abort
                0.01                    0                    1

           Hold time           Delay time      Stop delay time
                   0                    0                    0

  RealMeasuredPoints
                 202

     Voltage   Resistance    Reactance      ACLevel    Frequency
4.9680e-03 1.6441e+04 4.0638e+00 6.9691e-03 1.0000e+03
1.4832e-02 1.3797e+04 4.5614e+00 6.9642e-03 1.0000e+03
2.4672e-02 1.1570e+04 2.5662e+00 6.9590e-03 1.0000e+03
3.4672e-02 9.6633e+03 -3.1038e-01 6.9535e-03 1.0000e+03
4.4552e-02 8.1329e+03 -1.1755e+00 6.9470e-03 1.0000e+03
5.4328e-02 6.8931e+03 -3.7210e+00 6.9389e-03 1.0000e+03
6.4160e-02 5.9027e+03 -3.7089e+00 6.9301e-03 1.0000e+03
7.3984e-02 5.1043e+03 -5.0125e+00 6.9208e-03 1.0000e+03
8.3776e-02 4.4698e+03 -4.1015e+00 6.9115e-03 1.0000e+03
9.3640e-02 3.9541e+03 -4.9659e+00 6.9014e-03 1.0000e+03
1.0346e-01 3.5369e+03 -3.0910e+00 6.8913e-03 1.0000e+03
1.1317e-01 3.2060e+03 -3.9153e+00 6.8818e-03 1.0000e+03
1.2302e-01 2.9336e+03 -2.7269e+00 6.8729e-03 1.0000e+03
1.3293e-01 2.7050e+03 -3.9249e+00 6.8639e-03 1.0000e+03
1.4276e-01 2.5195e+03 -2.8993e+00 6.8533e-03 1.0000e+03
1.5242e-01 2.3636e+03 -2.5482e+00 6.8435e-03 1.0000e+03
1.6220e-01 2.2320e+03 -3.4734e+00 6.8355e-03 1.0000e+03
1.7194e-01 2.1216e+03 -2.2640e+00 6.8283e-03 1.0000e+03
1.8154e-01 2.0275e+03 -2.5490e+00 6.8209e-03 1.0000e+03
1.9163e-01 1.9440e+03 -2.6129e+00 6.8158e-03 1.0000e+03
2.0118e-01 1.8720e+03 -1.9595e+00 6.8079e-03 1.0000e+03
2.1092e-01 1.8108e+03 -1.7480e+00 6.8006e-03 1.0000e+03
2.2055e-01 1.7561e+03 -2.2699e+00 6.7956e-03 1.0000e+03
