  Measurement Number     Measurement type
                   3           CVSweepNew

      Measurement ID             SeriesID
       739662.670235                    0

         MeasureMode                Start                 Stop
                   1                    0                    1

                Step           Sweep mode            Frequency
                0.01                    3               100000

            AC level                Abort          After abort
                0.01                    0                    1

           Hold time           Delay time      Stop delay time
                   0                    0                    0

  RealMeasuredPoints
                 202

     Voltage   Resistance    Reactance      ACLevel    Frequency
5.0880e-03 1.6490e+04 1.2176e+03 6.9371e-03 1.0000e+05
1.4928e-02 1.3796e+04 9.9885e+02 6.9320e-03 1.0000e+05
2.4808e-02 1.1547e+04 8.5405e+02 6.9269e-03 1.0000e+05
3.4576e-02 9.6196e+03 7.1585e+02 6.9225e-03 1.0000e+05
4.5184e-02 8.0927e+03 5.9742e+02 6.9147e-03 1.0000e+05
5.4424e-02 6.8345e+03 5.0764e+02 6.9063e-03 1.0000e+05
6.4360e-02 5.8357e+03 4.3362e+02 6.9000e-03 1.0000e+05
7.4080e-02 5.0327e+03 3.6574e+02 6.8904e-03 1.0000e+05
8.4096e-02 4.4063e+03 3.1501e+02 6.8798e-03 1.0000e+05
9.3648e-02 3.8931e+03 2.7412e+02 6.8722e-03 1.0000e+05
1.0377e-01 3.4770e+03 2.3636e+02 6.8612e-03 1.0000e+05
1.1335e-01 3.1459e+03 2.0955e+02 6.8485e-03 1.0000e+05
1.2331e-01 2.8755e+03 1.8796e+02 6.8406e-03 1.0000e+05
1.3310e-01 2.6487e+03 1.6845e+02 6.8294e-03 1.0000e+05
1.4306e-01 2.4663e+03 1.5290e+02 6.8198e-03 1.0000e+05
1.5247e-01 2.3125e+03 1.4016e+02 6.8112e-03 1.0000e+05
1.6259e-01 2.1819e+03 1.2772e+02 6.8041e-03 1.0000e+05
1.7227e-01 2.0724e+03 1.1927e+02 6.7944e-03 1.0000e+05
1.8199e-01 1.9801e+03 1.1113e+02 6.7867e-03 1.0000e+05
1.9163e-01 1.8970e+03 1.0506e+02 6.7807e-03 1.0000e+05
2.0162e-01 1.8272e+03 9.9019e+01 6.7736e-03 1.0000e+05
2.1102e-01 1.7678e+03 9.4092e+01 6.7674e-03 1.0000e+05
2.2095e-01 1.7143e+03 8.9976e+01 6.7615e-03 1.0000e+05
2.3047e-01 1.6664e+03 8.6867e+01 6.7558e-03 1.0000e+05
